Year,Profession,Employment status,Sex,Province,Units,Value
2012,,,Female,Gipuzkoa,"Per 10,000 inhabitants",207.9
2023,,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",58.6
2022,,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",12.9
2014,,,Female,Gipuzkoa,"Per 10,000 inhabitants",218.5
2023,,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",238.7
2019,,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",224.0
2022,,,Female,Gipuzkoa,"Per 10,000 inhabitants",248.2
2010,,,Female,Gipuzkoa,"Per 10,000 inhabitants",203.3
2017,,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",6.4
2019,,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",8.6
2012,,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",3.2
2018,,,Female,Gipuzkoa,"Per 10,000 inhabitants",228.5
2012,,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",204.7
2015,,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",216.8
2023,,,Female,Gipuzkoa,"Per 10,000 inhabitants",297.3
2019,,,Female,Gipuzkoa,"Per 10,000 inhabitants",232.6
2010,,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",2.0
2013,,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",3.5
2015,,,Female,Gipuzkoa,"Per 10,000 inhabitants",221.5
2021,,,Female,Gipuzkoa,"Per 10,000 inhabitants",245.4
2025,,,Female,Gipuzkoa,"Per 10,000 inhabitants",302.1
2011,,,Female,Gipuzkoa,"Per 10,000 inhabitants",203.7
2016,,,Female,Gipuzkoa,"Per 10,000 inhabitants",223.9
2025,,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",245.6
2024,,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",241.7
2020,,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",231.0
2018,,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",221.0
2016,,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",218.5
2022,,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",235.2
2024,,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",52.4
2021,,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",10.7
2011,,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",194.4
2014,,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",4.0
2014,,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",214.5
2020,,,Female,Gipuzkoa,"Per 10,000 inhabitants",240.6
2013,,,Female,Gipuzkoa,"Per 10,000 inhabitants",213.6
2025,,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",56.6
2011,,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",2.4
2024,,,Female,Gipuzkoa,"Per 10,000 inhabitants",294.0
2018,,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",7.4
2013,,Not retired,Male,,"Per 10,000 inhabitants",73.9
2015,,Not retired,Male,,"Per 10,000 inhabitants",74.0
2022,,Retired,Male,,"Per 10,000 inhabitants",19.0
2017,,Retired,Male,,"Per 10,000 inhabitants",12.9
2013,,Retired,Male,,"Per 10,000 inhabitants",9.7
2020,,Not retired,Male,,"Per 10,000 inhabitants",74.8
2017,,,Male,,"Per 10,000 inhabitants",86.8
2010,,Retired,Male,,"Per 10,000 inhabitants",7.9
2016,,Not retired,Male,,"Per 10,000 inhabitants",74.3
2023,,Retired,Male,,"Per 10,000 inhabitants",22.6
2015,,Retired,Male,,"Per 10,000 inhabitants",11.1
2025,,Not retired,Male,,"Per 10,000 inhabitants",73.8
2014,,Not retired,Male,,"Per 10,000 inhabitants",74.3
2016,,,Male,,"Per 10,000 inhabitants",86.3
2018,,Retired,Male,,"Per 10,000 inhabitants",13.8
2012,,,Male,,"Per 10,000 inhabitants",83.9
2019,,,Male,,"Per 10,000 inhabitants",89.7
2019,,Not retired,Male,,"Per 10,000 inhabitants",73.9
2010,,,Male,,"Per 10,000 inhabitants",82.3
2013,,,Male,,"Per 10,000 inhabitants",83.6
2020,,Retired,Male,,"Per 10,000 inhabitants",17.0
2011,,Retired,Male,,"Per 10,000 inhabitants",8.2
2017,,Not retired,Male,,"Per 10,000 inhabitants",73.9
2018,,Not retired,Male,,"Per 10,000 inhabitants",74.3
2025,,,Male,,"Per 10,000 inhabitants",97.8
2014,,,Male,,"Per 10,000 inhabitants",84.6
2011,,,Male,,"Per 10,000 inhabitants",84.8
2023,,,Male,,"Per 10,000 inhabitants",96.6
2024,,Not retired,Male,,"Per 10,000 inhabitants",73.6
2016,,Retired,Male,,"Per 10,000 inhabitants",11.9
2010,,Not retired,Male,,"Per 10,000 inhabitants",74.2
2025,,Retired,Male,,"Per 10,000 inhabitants",24.0
2022,,Not retired,Male,,"Per 10,000 inhabitants",74.7
