Year,Series,Erakundea,Lurralde historikoa,Units,Value
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Araba / Álava,Ratioa,1.23
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Araba / Álava,Ratioa,1.17
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Araba / Álava,Ratioa,1.26
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Araba / Álava,Ratioa,1.26
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Araba / Álava,Ratioa,1.22
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Araba / Álava,Ratioa,1.26
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Araba / Álava,Ratioa,1.22
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Bizkaia,Ratioa,0.89
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Bizkaia,Ratioa,1.01
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Bizkaia,Ratioa,1.05
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Bizkaia,Ratioa,0.9
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Bizkaia,Ratioa,0.89
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Bizkaia,Ratioa,1.06
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Bizkaia,Ratioa,0.92
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Bizkaia,Ratioa,1.02
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Bizkaia,Ratioa,0.89
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Bizkaia,Ratioa,1.08
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Bizkaia,Ratioa,1.08
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Bizkaia,Ratioa,0.91
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Bizkaia,Ratioa,1.03
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Bizkaia,Ratioa,0.9
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Gipuzkoa,Ratioa,1.01
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Gipuzkoa,Ratioa,1.07
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Gipuzkoa,Ratioa,1.09
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Gipuzkoa,Ratioa,1.02
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Gipuzkoa,Ratioa,1.04
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Gipuzkoa,Ratioa,1.01
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Gipuzkoa,Ratioa,1.01
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Gipuzkoa,Ratioa,1.09
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Gipuzkoa,Ratioa,1.07
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,Gipuzkoa,Ratioa,1.05
