Year,Series,Erakundea,Lurralde historikoa,Units,Value
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Indar armatuak,Gipuzkoa,Ratioa,0.16
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Indar armatuak,Gipuzkoa,Ratioa,0.15
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Indar armatuak,Gipuzkoa,Ratioa,0.19
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Indar armatuak,Gipuzkoa,Ratioa,0.17
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Indar armatuak,Gipuzkoa,Ratioa,0.18
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Indar armatuak,Gipuzkoa,Ratioa,0.15
2014,"Botere judizialeko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,1.23
2010,"Botere judizialeko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,1.15
2023,"Botere judizialeko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,1.22
2021,"Botere judizialeko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,1.23
2022,"Botere judizialeko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,1.2
2018,"Botere judizialeko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,1.21
2013,"Botere judizialeko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,1.23
2015,"Botere judizialeko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,1.24
2017,"Botere judizialeko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,1.22
2020,"Botere judizialeko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,1.24
2011,"Botere judizialeko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,1.22
2019,"Botere judizialeko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,1.23
2012,"Botere judizialeko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,1.17
2016,"Botere judizialeko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,1.2
