Year,Series,Profesión,Sexo,Territorio histórico,Units,Value
2014,Densidad y distribución del personal sanitario,Farmaceútico/a,,,Por 10.000 habitantes,14.7
2018,Densidad y distribución del personal sanitario,Farmaceútico/a,,,Por 10.000 habitantes,15.9
2011,Densidad y distribución del personal sanitario,Farmaceútico/a,,,Por 10.000 habitantes,13.8
2023,Densidad y distribución del personal sanitario,Farmaceútico/a,,,Por 10.000 habitantes,16.7
2012,Densidad y distribución del personal sanitario,Farmaceútico/a,,,Por 10.000 habitantes,14.1
2016,Densidad y distribución del personal sanitario,Farmaceútico/a,,,Por 10.000 habitantes,15.4
2012,Densidad y distribución del personal sanitario,Farmaceútico/a,,Araba/Álava,Por 10.000 habitantes,14.4
2022,Densidad y distribución del personal sanitario,Farmaceútico/a,,Araba/Álava,Por 10.000 habitantes,17.3
2023,Densidad y distribución del personal sanitario,Farmaceútico/a,,Araba/Álava,Por 10.000 habitantes,17.1
2018,Densidad y distribución del personal sanitario,Farmaceútico/a,,Araba/Álava,Por 10.000 habitantes,16.0
2016,Densidad y distribución del personal sanitario,Farmaceútico/a,,Araba/Álava,Por 10.000 habitantes,15.7
2013,Densidad y distribución del personal sanitario,Farmaceútico/a,,Araba/Álava,Por 10.000 habitantes,14.7
2017,Densidad y distribución del personal sanitario,Farmaceútico/a,,Araba/Álava,Por 10.000 habitantes,15.8
2020,Densidad y distribución del personal sanitario,Farmaceútico/a,,Araba/Álava,Por 10.000 habitantes,16.5
2021,Densidad y distribución del personal sanitario,Farmaceútico/a,,Araba/Álava,Por 10.000 habitantes,16.5
2010,Densidad y distribución del personal sanitario,Farmaceútico/a,,Araba/Álava,Por 10.000 habitantes,13.8
2015,Densidad y distribución del personal sanitario,Farmaceútico/a,,Araba/Álava,Por 10.000 habitantes,15.2
2014,Densidad y distribución del personal sanitario,Farmaceútico/a,,Araba/Álava,Por 10.000 habitantes,15.0
2011,Densidad y distribución del personal sanitario,Farmaceútico/a,,Araba/Álava,Por 10.000 habitantes,14.1
2019,Densidad y distribución del personal sanitario,Farmaceútico/a,,Araba/Álava,Por 10.000 habitantes,16.2
2021,Densidad y distribución del personal sanitario,Farmaceútico/a,,Bizkaia,Por 10.000 habitantes,16.4
2017,Densidad y distribución del personal sanitario,Farmaceútico/a,,Bizkaia,Por 10.000 habitantes,15.8
2013,Densidad y distribución del personal sanitario,Farmaceútico/a,,Bizkaia,Por 10.000 habitantes,14.5
2011,Densidad y distribución del personal sanitario,Farmaceútico/a,,Bizkaia,Por 10.000 habitantes,14.1
2012,Densidad y distribución del personal sanitario,Farmaceútico/a,,Bizkaia,Por 10.000 habitantes,14.2
2014,Densidad y distribución del personal sanitario,Farmaceútico/a,,Bizkaia,Por 10.000 habitantes,14.8
2020,Densidad y distribución del personal sanitario,Farmaceútico/a,,Bizkaia,Por 10.000 habitantes,16.1
2015,Densidad y distribución del personal sanitario,Farmaceútico/a,,Bizkaia,Por 10.000 habitantes,15.2
2016,Densidad y distribución del personal sanitario,Farmaceútico/a,,Bizkaia,Por 10.000 habitantes,15.6
2019,Densidad y distribución del personal sanitario,Farmaceútico/a,,Bizkaia,Por 10.000 habitantes,16.0
2010,Densidad y distribución del personal sanitario,Farmaceútico/a,,Bizkaia,Por 10.000 habitantes,14.0
2018,Densidad y distribución del personal sanitario,Farmaceútico/a,,Bizkaia,Por 10.000 habitantes,16.0
2022,Densidad y distribución del personal sanitario,Farmaceútico/a,,Bizkaia,Por 10.000 habitantes,16.6
2023,Densidad y distribución del personal sanitario,Farmaceútico/a,,Bizkaia,Por 10.000 habitantes,16.5
2019,Densidad y distribución del personal sanitario,Farmaceútico/a,,Gipuzkoa,Por 10.000 habitantes,15.9
2011,Densidad y distribución del personal sanitario,Farmaceútico/a,,Gipuzkoa,Por 10.000 habitantes,13.3
2023,Densidad y distribución del personal sanitario,Farmaceútico/a,,Gipuzkoa,Por 10.000 habitantes,16.8
2015,Densidad y distribución del personal sanitario,Farmaceútico/a,,Gipuzkoa,Por 10.000 habitantes,14.5
2014,Densidad y distribución del personal sanitario,Farmaceútico/a,,Gipuzkoa,Por 10.000 habitantes,14.5
2010,Densidad y distribución del personal sanitario,Farmaceútico/a,,Gipuzkoa,Por 10.000 habitantes,12.9
2021,Densidad y distribución del personal sanitario,Farmaceútico/a,,Gipuzkoa,Por 10.000 habitantes,16.3
2013,Densidad y distribución del personal sanitario,Farmaceútico/a,,Gipuzkoa,Por 10.000 habitantes,14.0
2018,Densidad y distribución del personal sanitario,Farmaceútico/a,,Gipuzkoa,Por 10.000 habitantes,15.7
2012,Densidad y distribución del personal sanitario,Farmaceútico/a,,Gipuzkoa,Por 10.000 habitantes,13.7
2020,Densidad y distribución del personal sanitario,Farmaceútico/a,,Gipuzkoa,Por 10.000 habitantes,16.3
2016,Densidad y distribución del personal sanitario,Farmaceútico/a,,Gipuzkoa,Por 10.000 habitantes,14.9
2017,Densidad y distribución del personal sanitario,Farmaceútico/a,,Gipuzkoa,Por 10.000 habitantes,15.2
2022,Densidad y distribución del personal sanitario,Farmaceútico/a,,Gipuzkoa,Por 10.000 habitantes,16.9
2018,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,,Por 10.000 habitantes,24.7
2016,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,,Por 10.000 habitantes,23.9
2020,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,,Por 10.000 habitantes,25.3
2013,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,,Por 10.000 habitantes,22.4
2015,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,,Por 10.000 habitantes,23.3
2012,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,,Por 10.000 habitantes,21.9
2014,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,,Por 10.000 habitantes,22.9
2010,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,,Por 10.000 habitantes,21.3
2019,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,,Por 10.000 habitantes,24.9
2017,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,,Por 10.000 habitantes,24.4
2011,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,,Por 10.000 habitantes,21.7
2021,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,,Por 10.000 habitantes,25.7
2023,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,,Por 10.000 habitantes,26.1
2022,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,,Por 10.000 habitantes,26.3
2011,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Araba/Álava,Por 10.000 habitantes,22.1
2015,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Araba/Álava,Por 10.000 habitantes,23.2
2021,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Araba/Álava,Por 10.000 habitantes,25.4
2010,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Araba/Álava,Por 10.000 habitantes,21.2
2013,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Araba/Álava,Por 10.000 habitantes,22.8
2023,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Araba/Álava,Por 10.000 habitantes,27.0
2020,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Araba/Álava,Por 10.000 habitantes,25.4
2012,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Araba/Álava,Por 10.000 habitantes,22.5
2017,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Araba/Álava,Por 10.000 habitantes,24.1
2014,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Araba/Álava,Por 10.000 habitantes,23.4
2016,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Araba/Álava,Por 10.000 habitantes,23.8
2022,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Araba/Álava,Por 10.000 habitantes,27.4
2019,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Araba/Álava,Por 10.000 habitantes,24.7
2018,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Araba/Álava,Por 10.000 habitantes,24.3
2013,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Bizkaia,Por 10.000 habitantes,22.5
2019,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Bizkaia,Por 10.000 habitantes,24.8
2014,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Bizkaia,Por 10.000 habitantes,22.9
2016,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Bizkaia,Por 10.000 habitantes,24.2
2023,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Bizkaia,Por 10.000 habitantes,25.4
2020,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Bizkaia,Por 10.000 habitantes,24.9
2022,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Bizkaia,Por 10.000 habitantes,25.8
2018,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Bizkaia,Por 10.000 habitantes,24.8
2015,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Bizkaia,Por 10.000 habitantes,23.5
2017,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Bizkaia,Por 10.000 habitantes,24.4
2010,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Bizkaia,Por 10.000 habitantes,21.9
2011,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Bizkaia,Por 10.000 habitantes,22.1
2012,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Bizkaia,Por 10.000 habitantes,22.1
2021,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Bizkaia,Por 10.000 habitantes,25.4
2011,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,20.8
2012,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,21.4
2020,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,25.8
2014,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,22.7
2021,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,26.3
2018,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,24.9
2022,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,26.7
2013,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,21.9
2023,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,26.8
2017,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,24.5
2010,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,20.3
2016,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,23.5
2015,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,23.0
2019,Densidad y distribución del personal sanitario,Farmaceútico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,25.2
2018,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,,Por 10.000 habitantes,6.6
2016,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,,Por 10.000 habitantes,6.3
2013,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,,Por 10.000 habitantes,6.0
2017,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,,Por 10.000 habitantes,6.3
2022,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,,Por 10.000 habitantes,6.7
2020,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,,Por 10.000 habitantes,6.7
2021,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,,Por 10.000 habitantes,6.5
2019,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,,Por 10.000 habitantes,6.5
2015,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,,Por 10.000 habitantes,6.1
2014,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,,Por 10.000 habitantes,6.1
2010,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,,Por 10.000 habitantes,5.6
2011,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,,Por 10.000 habitantes,5.6
2012,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,,Por 10.000 habitantes,5.9
2023,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,,Por 10.000 habitantes,6.7
2022,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Araba/Álava,Por 10.000 habitantes,6.8
2021,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Araba/Álava,Por 10.000 habitantes,7.2
2013,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Araba/Álava,Por 10.000 habitantes,6.5
2017,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Araba/Álava,Por 10.000 habitantes,7.2
2019,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Araba/Álava,Por 10.000 habitantes,7.4
2014,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Araba/Álava,Por 10.000 habitantes,6.4
2018,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Araba/Álava,Por 10.000 habitantes,7.4
2011,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Araba/Álava,Por 10.000 habitantes,6.0
2010,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Araba/Álava,Por 10.000 habitantes,6.3
2023,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Araba/Álava,Por 10.000 habitantes,6.8
2016,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Araba/Álava,Por 10.000 habitantes,7.4
2015,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Araba/Álava,Por 10.000 habitantes,6.9
2020,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Araba/Álava,Por 10.000 habitantes,7.4
2012,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Araba/Álava,Por 10.000 habitantes,6.4
2017,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Bizkaia,Por 10.000 habitantes,6.5
2021,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Bizkaia,Por 10.000 habitantes,6.7
2013,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Bizkaia,Por 10.000 habitantes,6.0
2018,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Bizkaia,Por 10.000 habitantes,6.6
2012,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Bizkaia,Por 10.000 habitantes,5.8
2016,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Bizkaia,Por 10.000 habitantes,6.4
2020,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Bizkaia,Por 10.000 habitantes,6.6
2014,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Bizkaia,Por 10.000 habitantes,6.1
2010,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Bizkaia,Por 10.000 habitantes,5.5
2019,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Bizkaia,Por 10.000 habitantes,6.5
2023,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Bizkaia,Por 10.000 habitantes,7.0
2022,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Bizkaia,Por 10.000 habitantes,6.7
2011,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Bizkaia,Por 10.000 habitantes,5.5
2015,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Bizkaia,Por 10.000 habitantes,6.3
2017,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,5.6
2012,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,5.7
2010,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,5.3
2013,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,5.7
2019,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,6.1
2011,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,5.4
2015,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,5.6
2023,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,6.3
2014,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,5.9
2018,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,6.2
2022,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,6.6
2021,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,5.8
2020,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,6.4
2016,Densidad y distribución del personal sanitario,Farmaceútico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,5.8
