Year,Series,Profesión,Sexo,Territorio histórico,Units,Value
2021,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,,Gipuzkoa,Por 10.000 habitantes,75.4
2015,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,,Por 10.000 habitantes,129.6
2018,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,,Por 10.000 habitantes,133.1
2016,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,,Por 10.000 habitantes,131.2
2019,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,,Por 10.000 habitantes,134.0
2017,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,,Por 10.000 habitantes,132.2
2020,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,,Por 10.000 habitantes,135.8
2013,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,,Por 10.000 habitantes,124.8
2012,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,,Por 10.000 habitantes,123.5
2023,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,,Por 10.000 habitantes,154.4
2010,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,,Por 10.000 habitantes,121.2
2014,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,,Por 10.000 habitantes,127.4
2021,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,,Por 10.000 habitantes,136.9
2022,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,,Por 10.000 habitantes,138.1
2011,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,,Por 10.000 habitantes,123.3
2016,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Araba/Álava,Por 10.000 habitantes,151.9
2022,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Araba/Álava,Por 10.000 habitantes,155.9
2023,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Araba/Álava,Por 10.000 habitantes,156.3
2021,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Araba/Álava,Por 10.000 habitantes,155.3
2013,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Araba/Álava,Por 10.000 habitantes,143.3
2018,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Araba/Álava,Por 10.000 habitantes,156.3
2020,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Araba/Álava,Por 10.000 habitantes,154.7
2019,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Araba/Álava,Por 10.000 habitantes,153.5
2011,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Araba/Álava,Por 10.000 habitantes,141.7
2015,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Araba/Álava,Por 10.000 habitantes,150.0
2010,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Araba/Álava,Por 10.000 habitantes,138.2
2012,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Araba/Álava,Por 10.000 habitantes,142.4
2017,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Araba/Álava,Por 10.000 habitantes,154.5
2014,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Araba/Álava,Por 10.000 habitantes,147.2
2021,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Bizkaia,Por 10.000 habitantes,132.2
2023,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Bizkaia,Por 10.000 habitantes,135.6
2020,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Bizkaia,Por 10.000 habitantes,130.9
