Year,Series,Province,County,Municipality,Units,GeoCode,Value
2010,Proportion of households with a toilet,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.7
2016,Proportion of households with running water,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2014,Proportion of households with running water,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2019,Proportion of households with running water,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2014,Proportion of households with a toilet,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.8
2021,Proportion of households with running water,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2013,Proportion of households with running water,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2022,Proportion of households with a toilet,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2021,Proportion of households with a toilet,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2018,Proportion of households with running water,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2015,Proportion of households with running water,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2018,Proportion of households with a toilet,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2019,Proportion of households with a toilet,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2023,Proportion of households with a toilet,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2015,Proportion of households with a toilet,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2016,Proportion of households with a toilet,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2013,Proportion of households with a toilet,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.8
2010,Proportion of households with running water,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.8
2022,Proportion of households with running water,,,Alegría-Dulantzi,%,Alegría-Dulantzi,99.9
2022,Proportion of households with a toilet,,,Alkiza,%,Alkiza,97.0
2019,Proportion of households with running water,,,Alkiza,%,Alkiza,100.0
2013,Proportion of households with a toilet,,,Alkiza,%,Alkiza,96.9
2010,Proportion of households with a toilet,,,Alkiza,%,Alkiza,97.6
2023,Proportion of households with running water,,,Alkiza,%,Alkiza,100.0
2015,Proportion of households with a toilet,,,Alkiza,%,Alkiza,96.9
2018,Proportion of households with running water,,,Alkiza,%,Alkiza,100.0
2020,Proportion of households with running water,,,Alkiza,%,Alkiza,100.0
2014,Proportion of households with running water,,,Alkiza,%,Alkiza,100.0
2010,Proportion of households with running water,,,Alkiza,%,Alkiza,100.0
2019,Proportion of households with a toilet,,,Alkiza,%,Alkiza,96.9
2016,Proportion of households with running water,,,Alkiza,%,Alkiza,100.0
2023,Proportion of households with a toilet,,,Alkiza,%,Alkiza,97.0
