Year,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2019,,,Baliarrain,Por 10.000,Baliarrain,0.0
2019,,,Balmaseda,Por 10.000,Balmaseda,0.0
2022,,,Balmaseda,Por 10.000,Balmaseda,2.5
2020,,,Balmaseda,Por 10.000,Balmaseda,5.0
2023,,,Balmaseda,Por 10.000,Balmaseda,2.5
2021,,,Balmaseda,Por 10.000,Balmaseda,7.5
2019,,,Baños de Ebro/Mañueta,Por 10.000,Baños de Ebro/Mañueta,0.0
2020,,,Baños de Ebro/Mañueta,Por 10.000,Baños de Ebro/Mañueta,0.0
2021,,,Baños de Ebro/Mañueta,Por 10.000,Baños de Ebro/Mañueta,0.0
2023,,,Baños de Ebro/Mañueta,Por 10.000,Baños de Ebro/Mañueta,0.0
2022,,,Baños de Ebro/Mañueta,Por 10.000,Baños de Ebro/Mañueta,74.1
2020,,,Barakaldo,Por 10.000,Barakaldo,2.5
2022,,,Barakaldo,Por 10.000,Barakaldo,6.3
2023,,,Barakaldo,Por 10.000,Barakaldo,4.5
2019,,,Barakaldo,Por 10.000,Barakaldo,4.1
2021,,,Barakaldo,Por 10.000,Barakaldo,5.9
2023,,,Barrika,Por 10.000,Barrika,0.0
2022,,,Barrika,Por 10.000,Barrika,0.0
2020,,,Barrika,Por 10.000,Barrika,0.0
2019,,,Barrika,Por 10.000,Barrika,0.0
2021,,,Barrika,Por 10.000,Barrika,0.0
2021,,,Barrundia,Por 10.000,Barrundia,0.0
2020,,,Barrundia,Por 10.000,Barrundia,0.0
2019,,,Barrundia,Por 10.000,Barrundia,0.0
2023,,,Barrundia,Por 10.000,Barrundia,0.0
2022,,,Barrundia,Por 10.000,Barrundia,0.0
2021,,,Basauri,Por 10.000,Basauri,3.8
2020,,,Basauri,Por 10.000,Basauri,2.4
2022,,,Basauri,Por 10.000,Basauri,1.9
2019,,,Basauri,Por 10.000,Basauri,3.8
2023,,,Basauri,Por 10.000,Basauri,8.1
2023,,,Beasain,Por 10.000,Beasain,1.4
2022,,,Beasain,Por 10.000,Beasain,2.9
2021,,,Beasain,Por 10.000,Beasain,1.5
2019,,,Beasain,Por 10.000,Beasain,7.3
2020,,,Beasain,Por 10.000,Beasain,2.9
2019,,,Bedia,Por 10.000,Bedia,0.0
2021,,,Bedia,Por 10.000,Bedia,0.0
2022,,,Bedia,Por 10.000,Bedia,17.2
2020,,,Bedia,Por 10.000,Bedia,0.0
2023,,,Bedia,Por 10.000,Bedia,0.0
2021,,,Beizama,Por 10.000,Beizama,0.0
2022,,,Beizama,Por 10.000,Beizama,0.0
2020,,,Beizama,Por 10.000,Beizama,0.0
2019,,,Beizama,Por 10.000,Beizama,0.0
2023,,,Beizama,Por 10.000,Beizama,0.0
2019,,,Belauntza,Por 10.000,Belauntza,0.0
