Year,Sexo,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2022,,,,Arrasate/Mondragón,Por 100.000 habitantes,Arrasate/Mondragón,0.0
2024,,,,Arrasate/Mondragón,Por 100.000 habitantes,Arrasate/Mondragón,0.0
2019,,,,Arrasate/Mondragón,Por 100.000 habitantes,Arrasate/Mondragón,0.0
2021,,,,Arrasate/Mondragón,Por 100.000 habitantes,Arrasate/Mondragón,0.0
2014,,,,Arrasate/Mondragón,Por 100.000 habitantes,Arrasate/Mondragón,0.0
2017,,,,Arrasate/Mondragón,Por 100.000 habitantes,Arrasate/Mondragón,0.0
2020,,,,Arrasate/Mondragón,Por 100.000 habitantes,Arrasate/Mondragón,0.0
2023,,,,Arrasate/Mondragón,Por 100.000 habitantes,Arrasate/Mondragón,0.0
2016,,,,Arrasate/Mondragón,Por 100.000 habitantes,Arrasate/Mondragón,0.0
2011,,,,Arrasate/Mondragón,Por 100.000 habitantes,Arrasate/Mondragón,0.0
2018,,,,Arrasate/Mondragón,Por 100.000 habitantes,Arrasate/Mondragón,0.0
2015,,,,Arrasate/Mondragón,Por 100.000 habitantes,Arrasate/Mondragón,0.0
2010,,,,Arrasate/Mondragón,Por 100.000 habitantes,Arrasate/Mondragón,0.0
2023,,,,Arratzu,Por 100.000 habitantes,Arratzu,0.0
2016,,,,Arratzu,Por 100.000 habitantes,Arratzu,0.0
2013,,,,Arratzu,Por 100.000 habitantes,Arratzu,0.0
2021,,,,Arratzu,Por 100.000 habitantes,Arratzu,0.0
2024,,,,Arratzu,Por 100.000 habitantes,Arratzu,0.0
2014,,,,Arratzu,Por 100.000 habitantes,Arratzu,0.0
2015,,,,Arratzu,Por 100.000 habitantes,Arratzu,0.0
2022,,,,Arratzu,Por 100.000 habitantes,Arratzu,0.0
2020,,,,Arratzu,Por 100.000 habitantes,Arratzu,0.0
2019,,,,Arratzu,Por 100.000 habitantes,Arratzu,0.0
2017,,,,Arratzu,Por 100.000 habitantes,Arratzu,0.0
2010,,,,Arratzu,Por 100.000 habitantes,Arratzu,0.0
2018,,,,Arratzu,Por 100.000 habitantes,Arratzu,0.0
