Year,Sexua,Adina,Nazionalitatea,Desgaitasuna,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2019,,,,,,,Amezketa,%,Amezketa,8.4
2020,,,,,,,Amezketa,%,Amezketa,7.8
2021,,,,,,,Amezketa,%,Amezketa,9.2
2023,,,,,,,Amezketa,%,Amezketa,7.5
2010,,,,,,,Amezketa,%,Amezketa,7.3
2016,,,,,,,Amezketa,%,Amezketa,10.8
2018,,,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,8.9
2016,,,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,12.6
2019,,,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,8.9
2023,,,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,6.2
2010,,,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,9.1
2022,,,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,8.1
2015,,,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,14.4
2020,,,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,8.1
2021,,,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,9.2
2019,,,,,,,Amoroto,%,Amoroto,8.4
2010,,,,,,,Amoroto,%,Amoroto,8.7
2015,,,,,,,Amoroto,%,Amoroto,11.0
2023,,,,,,,Amoroto,%,Amoroto,7.9
2022,,,,,,,Amoroto,%,Amoroto,5.1
2016,,,,,,,Amoroto,%,Amoroto,8.2
2018,,,,,,,Amoroto,%,Amoroto,6.7
2020,,,,,,,Amoroto,%,Amoroto,10.4
2021,,,,,,,Amoroto,%,Amoroto,7.0
2020,,,,,,,Amurrio,%,Amurrio,11.2
2021,,,,,,,Amurrio,%,Amurrio,11.4
2010,,,,,,,Amurrio,%,Amurrio,9.3
2023,,,,,,,Amurrio,%,Amurrio,8.4
2015,,,,,,,Amurrio,%,Amurrio,16.1
2016,,,,,,,Amurrio,%,Amurrio,15.8
2022,,,,,,,Amurrio,%,Amurrio,9.3
2018,,,,,,,Amurrio,%,Amurrio,12.0
2019,,,,,,,Amurrio,%,Amurrio,10.7
2022,,,,,,,Andoain,%,Andoain,8.6
2021,,,,,,,Andoain,%,Andoain,9.8
2015,,,,,,,Andoain,%,Andoain,13.8
2019,,,,,,,Andoain,%,Andoain,9.1
2018,,,,,,,Andoain,%,Andoain,10.4
2020,,,,,,,Andoain,%,Andoain,8.4
2016,,,,,,,Andoain,%,Andoain,13.7
2023,,,,,,,Andoain,%,Andoain,7.7
2010,,,,,,,Andoain,%,Andoain,8.5
2022,,,,,,,Anoeta,%,Anoeta,7.7
2018,,,,,,,Anoeta,%,Anoeta,9.5
2021,,,,,,,Anoeta,%,Anoeta,8.7
2023,,,,,,,Anoeta,%,Anoeta,7.1
2019,,,,,,,Anoeta,%,Anoeta,8.4
2020,,,,,,,Anoeta,%,Anoeta,8.0
2016,,,,,,,Anoeta,%,Anoeta,13.6
2010,,,,,,,Anoeta,%,Anoeta,8.1
2015,,,,,,,Anoeta,%,Anoeta,14.0
2020,,,,,,,Antzuola,%,Antzuola,6.1
2022,,,,,,,Antzuola,%,Antzuola,5.5
2021,,,,,,,Antzuola,%,Antzuola,7.1
2016,,,,,,,Antzuola,%,Antzuola,8.5
2015,,,,,,,Antzuola,%,Antzuola,10.2
2023,,,,,,,Antzuola,%,Antzuola,5.9
2018,,,,,,,Antzuola,%,Antzuola,4.9
2019,,,,,,,Antzuola,%,Antzuola,5.0
2010,,,,,,,Antzuola,%,Antzuola,6.9
2016,,,,,,,Añana,%,Añana,15.6
2015,,,,,,,Añana,%,Añana,17.9
2010,,,,,,,Añana,%,Añana,6.3
2018,,,,,,,Añana,%,Añana,8.2
2019,,,,,,,Añana,%,Añana,7.0
2020,,,,,,,Añana,%,Añana,9.3
2021,,,,,,,Añana,%,Añana,8.2
2023,,,,,,,Añana,%,Añana,7.4
2022,,,,,,,Añana,%,Añana,8.2
2019,,,,,,,Arakaldo,%,Arakaldo,10.8
2018,,,,,,,Arakaldo,%,Arakaldo,16.3
2020,,,,,,,Arakaldo,%,Arakaldo,14.1
2021,,,,,,,Arakaldo,%,Arakaldo,15.8
2010,,,,,,,Arakaldo,%,Arakaldo,7.1
2015,,,,,,,Arakaldo,%,Arakaldo,16.3
2022,,,,,,,Arakaldo,%,Arakaldo,9.2
2023,,,,,,,Arakaldo,%,Arakaldo,12.0
2016,,,,,,,Arakaldo,%,Arakaldo,11.2
2020,,,,,,,Arama,%,Arama,7.6
2021,,,,,,,Arama,%,Arama,5.3
2015,,,,,,,Arama,%,Arama,11.4
2019,,,,,,,Arama,%,Arama,6.1
2010,,,,,,,Arama,%,Arama,6.1
2018,,,,,,,Arama,%,Arama,6.5
2016,,,,,,,Arama,%,Arama,5.9
2022,,,,,,,Arama,%,Arama,5.3
2023,,,,,,,Arama,%,Arama,2.0
2016,,,,,,,Aramaio,%,Aramaio,8.6
2023,,,,,,,Aramaio,%,Aramaio,4.7
2018,,,,,,,Aramaio,%,Aramaio,4.7
2019,,,,,,,Aramaio,%,Aramaio,4.3
2015,,,,,,,Aramaio,%,Aramaio,10.8
2021,,,,,,,Aramaio,%,Aramaio,5.7
2022,,,,,,,Aramaio,%,Aramaio,4.4
2010,,,,,,,Aramaio,%,Aramaio,5.5
2020,,,,,,,Aramaio,%,Aramaio,4.3
2019,,,,,,,Arantzazu,%,Arantzazu,7.2
2018,,,,,,,Arantzazu,%,Arantzazu,9.0
2022,,,,,,,Arantzazu,%,Arantzazu,7.8
2021,,,,,,,Arantzazu,%,Arantzazu,10.0
2016,,,,,,,Arantzazu,%,Arantzazu,9.9
2023,,,,,,,Arantzazu,%,Arantzazu,7.1
2015,,,,,,,Arantzazu,%,Arantzazu,13.2
2010,,,,,,,Arantzazu,%,Arantzazu,8.1
2020,,,,,,,Arantzazu,%,Arantzazu,7.5
2022,,,,,,,Areatza,%,Areatza,7.9
2019,,,,,,,Areatza,%,Areatza,10.4
2018,,,,,,,Areatza,%,Areatza,12.6
2021,,,,,,,Areatza,%,Areatza,11.1
2016,,,,,,,Areatza,%,Areatza,16.3
2010,,,,,,,Areatza,%,Areatza,7.5
2023,,,,,,,Areatza,%,Areatza,6.5
2020,,,,,,,Areatza,%,Areatza,8.8
2015,,,,,,,Areatza,%,Areatza,15.2
2022,,,,,,,Aretxabaleta,%,Aretxabaleta,5.8
2023,,,,,,,Aretxabaleta,%,Aretxabaleta,5.2
2021,,,,,,,Aretxabaleta,%,Aretxabaleta,6.6
2010,,,,,,,Aretxabaleta,%,Aretxabaleta,7.7
2018,,,,,,,Aretxabaleta,%,Aretxabaleta,7.5
2016,,,,,,,Aretxabaleta,%,Aretxabaleta,9.5
2020,,,,,,,Aretxabaleta,%,Aretxabaleta,6.8
2015,,,,,,,Aretxabaleta,%,Aretxabaleta,11.8
2019,,,,,,,Aretxabaleta,%,Aretxabaleta,7.8
2010,,,,,,,Armiñón,%,Armiñón,8.1
2021,,,,,,,Armiñón,%,Armiñón,9.9
2015,,,,,,,Armiñón,%,Armiñón,14.9
