Year,Trebetasun informatikoa,Sexua,Adina,Lurralde historikoa,Units,Value
2022,Fitxategiak edo karpetak kopiatu edo mugitu,,16-24 urte,Gipuzkoa,%,88.44
2023,Fitxategiak edo karpetak kopiatu edo mugitu,,16-24 urte,Gipuzkoa,%,89.53
2020,Fitxategiak edo karpetak kopiatu edo mugitu,,16-24 urte,Gipuzkoa,%,94.1
2019,Fitxategiak edo karpetak kopiatu edo mugitu,,16-24 urte,Gipuzkoa,%,87.91
2021,Fitxategiak edo karpetak kopiatu edo mugitu,,16-24 urte,Gipuzkoa,%,86.08
2022,Fitxategiak edo karpetak kopiatu edo mugitu,,16-74 urte,,%,57.2
2019,Fitxategiak edo karpetak kopiatu edo mugitu,,16-74 urte,,%,55.36
2021,Fitxategiak edo karpetak kopiatu edo mugitu,,16-74 urte,,%,61.48
2020,Fitxategiak edo karpetak kopiatu edo mugitu,,16-74 urte,,%,55.36
2023,Fitxategiak edo karpetak kopiatu edo mugitu,,16-74 urte,,%,56.25
2020,Fitxategiak edo karpetak kopiatu edo mugitu,,16-74 urte,Araba / Álava,%,54.04
2023,Fitxategiak edo karpetak kopiatu edo mugitu,,16-74 urte,Araba / Álava,%,54.82
2019,Fitxategiak edo karpetak kopiatu edo mugitu,,16-74 urte,Araba / Álava,%,55.76
2022,Fitxategiak edo karpetak kopiatu edo mugitu,,16-74 urte,Araba / Álava,%,56.74
2021,Fitxategiak edo karpetak kopiatu edo mugitu,,16-74 urte,Araba / Álava,%,61.94
2020,Fitxategiak edo karpetak kopiatu edo mugitu,,16-74 urte,Bizkaia,%,54.32
2019,Fitxategiak edo karpetak kopiatu edo mugitu,,16-74 urte,Bizkaia,%,55.79
2021,Fitxategiak edo karpetak kopiatu edo mugitu,,16-74 urte,Bizkaia,%,61.63
2023,Fitxategiak edo karpetak kopiatu edo mugitu,,16-74 urte,Bizkaia,%,56.04
2022,Fitxategiak edo karpetak kopiatu edo mugitu,,16-74 urte,Bizkaia,%,56.66
2023,Fitxategiak edo karpetak kopiatu edo mugitu,,16-74 urte,Gipuzkoa,%,57.26
2022,Fitxategiak edo karpetak kopiatu edo mugitu,,16-74 urte,Gipuzkoa,%,58.29
2021,Fitxategiak edo karpetak kopiatu edo mugitu,,16-74 urte,Gipuzkoa,%,61.02
2019,Fitxategiak edo karpetak kopiatu edo mugitu,,16-74 urte,Gipuzkoa,%,54.5
2020,Fitxategiak edo karpetak kopiatu edo mugitu,,16-74 urte,Gipuzkoa,%,57.68
2022,Fitxategiak edo karpetak kopiatu edo mugitu,,25-74 urte,,%,53.21
2020,Fitxategiak edo karpetak kopiatu edo mugitu,,25-74 urte,,%,51.5
2021,Fitxategiak edo karpetak kopiatu edo mugitu,,25-74 urte,,%,58.11
2023,Fitxategiak edo karpetak kopiatu edo mugitu,,25-74 urte,,%,51.9
2019,Fitxategiak edo karpetak kopiatu edo mugitu,,25-74 urte,,%,51.53
2021,Fitxategiak edo karpetak kopiatu edo mugitu,,25-74 urte,Araba / Álava,%,58.69
2019,Fitxategiak edo karpetak kopiatu edo mugitu,,25-74 urte,Araba / Álava,%,51.77
2022,Fitxategiak edo karpetak kopiatu edo mugitu,,25-74 urte,Araba / Álava,%,53.65
2020,Fitxategiak edo karpetak kopiatu edo mugitu,,25-74 urte,Araba / Álava,%,50.7
2023,Fitxategiak edo karpetak kopiatu edo mugitu,,25-74 urte,Araba / Álava,%,49.29
2019,Fitxategiak edo karpetak kopiatu edo mugitu,,25-74 urte,Bizkaia,%,52.19
2021,Fitxategiak edo karpetak kopiatu edo mugitu,,25-74 urte,Bizkaia,%,58.38
2023,Fitxategiak edo karpetak kopiatu edo mugitu,,25-74 urte,Bizkaia,%,52.12
2022,Fitxategiak edo karpetak kopiatu edo mugitu,,25-74 urte,Bizkaia,%,52.56
2020,Fitxategiak edo karpetak kopiatu edo mugitu,,25-74 urte,Bizkaia,%,50.87
2022,Fitxategiak edo karpetak kopiatu edo mugitu,,25-74 urte,Gipuzkoa,%,54.06
2023,Fitxategiak edo karpetak kopiatu edo mugitu,,25-74 urte,Gipuzkoa,%,52.75
2020,Fitxategiak edo karpetak kopiatu edo mugitu,,25-74 urte,Gipuzkoa,%,52.91
2021,Fitxategiak edo karpetak kopiatu edo mugitu,,25-74 urte,Gipuzkoa,%,57.39
2019,Fitxategiak edo karpetak kopiatu edo mugitu,,25-74 urte,Gipuzkoa,%,50.33
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-24 urte,,%,89.57
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-24 urte,,%,92.94
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-24 urte,,%,93.7
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-24 urte,,%,88.02
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-24 urte,,%,85.56
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-24 urte,Araba / Álava,%,96.79
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-24 urte,Araba / Álava,%,86.52
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-24 urte,Araba / Álava,%,91.79
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-24 urte,Araba / Álava,%,91.43
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-24 urte,Araba / Álava,%,80.79
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-24 urte,Bizkaia,%,85.05
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-24 urte,Bizkaia,%,90.43
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-24 urte,Bizkaia,%,84.89
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-24 urte,Bizkaia,%,92.96
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-24 urte,Bizkaia,%,90.41
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-24 urte,Gipuzkoa,%,95.61
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-24 urte,Gipuzkoa,%,95.62
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-24 urte,Gipuzkoa,%,86.21
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-24 urte,Gipuzkoa,%,87.43
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-24 urte,Gipuzkoa,%,95.08
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-74 urte,,%,60.25
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-74 urte,,%,56.49
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-74 urte,,%,55.85
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-74 urte,,%,53.04
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-74 urte,,%,53.47
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-74 urte,Araba / Álava,%,59.54
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-74 urte,Araba / Álava,%,51.69
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-74 urte,Araba / Álava,%,57.56
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,16-74 urte,Araba / Álava,%,55.54
