Year,Lanbidea,Lan-egoera,Sexua,Lurralde historikoa,Units,Value
2020,,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,235.6
2011,,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,191.9
2019,,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,229.6
2022,,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,242.7
2019,,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,7.7
2016,,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,4.4
2018,,,Emakumea,Bizkaia,10.000 biztanleko,234.2
2015,,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,3.5
2017,,,Emakumea,Bizkaia,10.000 biztanleko,229.7
2011,,,Emakumea,Bizkaia,10.000 biztanleko,202.2
2021,,,Emakumea,Bizkaia,10.000 biztanleko,249.8
2022,,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,10.0
2021,,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,238.9
2013,,,Emakumea,Bizkaia,10.000 biztanleko,211.4
2015,,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,216.9
2012,,,Emakumea,Bizkaia,10.000 biztanleko,208.3
2013,,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,2.8
2017,,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,5.3
2014,,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,3.0
2024,,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,13.2
2012,,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,204.9
2013,,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,207.9
2019,,,Emakumea,Bizkaia,10.000 biztanleko,238.0
2023,,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,245.3
2024,,,Emakumea,Bizkaia,10.000 biztanleko,262.1
2010,,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,2.1
2020,,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,231.0
2021,,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,234.7
2015,,,Emakumea,Gipuzkoa,10.000 biztanleko,221.5
2019,,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,8.6
2023,,,Emakumea,Gipuzkoa,10.000 biztanleko,297.3
2021,,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,10.7
2014,,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,214.5
2011,,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,2.4
2022,,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,235.2
2015,,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,216.8
2019,,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,224.0
2022,,,Emakumea,Gipuzkoa,10.000 biztanleko,248.2
2019,,,Emakumea,Gipuzkoa,10.000 biztanleko,232.6
2017,,,Emakumea,Gipuzkoa,10.000 biztanleko,226.3
2018,,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,7.4
2017,,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,219.9
2010,,,Emakumea,Gipuzkoa,10.000 biztanleko,203.3
2013,,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,210.2
2024,,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,241.7
2016,,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,218.5
2020,,,Emakumea,Gipuzkoa,10.000 biztanleko,240.6
