Year,Series,Sexua,Kontratu mota,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2015,Okupazio-tasa,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,68.8
2016,Okupazio-tasa,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,72.1
2010,Okupazio-tasa,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,70.1
2022,Okupazio-tasa,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,77.2
2019,Okupazio-tasa,,,,,Arrasate / Mondragón,%,Arrasate / Mondragón,69.3
2015,Okupazio-tasa,,,,,Arrasate / Mondragón,%,Arrasate / Mondragón,64.8
2023,Okupazio-tasa,,,,,Arrasate / Mondragón,%,Arrasate / Mondragón,73.6
2018,Okupazio-tasa,,,,,Arrasate / Mondragón,%,Arrasate / Mondragón,69.3
2020,Okupazio-tasa,,,,,Arrasate / Mondragón,%,Arrasate / Mondragón,70.2
2022,Okupazio-tasa,,,,,Arrasate / Mondragón,%,Arrasate / Mondragón,71.8
2016,Okupazio-tasa,,,,,Arrasate / Mondragón,%,Arrasate / Mondragón,65.3
2010,Okupazio-tasa,,,,,Arrasate / Mondragón,%,Arrasate / Mondragón,66.3
2021,Okupazio-tasa,,,,,Arrasate / Mondragón,%,Arrasate / Mondragón,69.6
2022,Okupazio-tasa,,,,,Arratzu,%,Arratzu,75.5
2018,Okupazio-tasa,,,,,Arratzu,%,Arratzu,75.3
2015,Okupazio-tasa,,,,,Arratzu,%,Arratzu,75.1
2016,Okupazio-tasa,,,,,Arratzu,%,Arratzu,74.5
2010,Okupazio-tasa,,,,,Arratzu,%,Arratzu,74.1
2019,Okupazio-tasa,,,,,Arratzu,%,Arratzu,72.2
2020,Okupazio-tasa,,,,,Arratzu,%,Arratzu,76.3
2021,Okupazio-tasa,,,,,Arratzu,%,Arratzu,72.4
2023,Okupazio-tasa,,,,,Arratzu,%,Arratzu,83.3
2023,Okupazio-tasa,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,77.5
2010,Okupazio-tasa,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,74.0
2021,Okupazio-tasa,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,73.8
