Year,Series,Gaixotasun ez-kutsakorra,Sexua,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2013,Heriotza-tasa,Minbizia,,Bizkaia,,,100.000 biztanleko,Bizkaia,285.8
2015,Heriotza-tasa,Minbizia,,Bizkaia,,,100.000 biztanleko,Bizkaia,295.8
2019,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,100.000 biztanleko,Bizkaia,79.1
2023,Heriotza-tasa,Diabetesa,,Bizkaia,,,100.000 biztanleko,Bizkaia,20.1
2014,Heriotza-tasa,Minbizia,,Bizkaia,,,100.000 biztanleko,Bizkaia,303.4
2013,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,100.000 biztanleko,Bizkaia,71.0
2017,Heriotza-tasa,Minbizia,,Bizkaia,,,100.000 biztanleko,Bizkaia,291.2
2012,Heriotza-tasa,Minbizia,,Bizkaia,,,100.000 biztanleko,Bizkaia,289.1
2023,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,100.000 biztanleko,Bizkaia,623.5
2021,Heriotza-tasa,Diabetesa,,Bizkaia,,,100.000 biztanleko,Bizkaia,22.1
2014,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,100.000 biztanleko,Bizkaia,68.9
2017,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,100.000 biztanleko,Bizkaia,89.0
2021,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,100.000 biztanleko,Bizkaia,276.1
2016,Heriotza-tasa,Diabetesa,,Bizkaia,,,100.000 biztanleko,Bizkaia,20.7
2023,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,100.000 biztanleko,Bizkaia,61.7
2015,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,100.000 biztanleko,Bizkaia,293.5
2010,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,100.000 biztanleko,Bizkaia,280.5
2017,Heriotza-tasa,Diabetesa,,Bizkaia,,,100.000 biztanleko,Bizkaia,18.0
2011,Heriotza-tasa,Minbizia,,Bizkaia,,,100.000 biztanleko,Bizkaia,291.5
2021,Heriotza-tasa,Minbizia,,Bizkaia,,,100.000 biztanleko,Bizkaia,291.9
2010,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,100.000 biztanleko,Bizkaia,64.1
2023,Heriotza-tasa,Minbizia,,Bizkaia,,,100.000 biztanleko,Bizkaia,282.4
2019,Heriotza-tasa,Diabetesa,,Bizkaia,,,100.000 biztanleko,Bizkaia,23.4
2013,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,100.000 biztanleko,Bizkaia,642.3
2011,Heriotza-tasa,Diabetesa,,Bizkaia,,,100.000 biztanleko,Bizkaia,21.9
2019,Heriotza-tasa,Minbizia,,Bizkaia,,,100.000 biztanleko,Bizkaia,297.8
2010,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,100.000 biztanleko,Bizkaia,654.2
2018,Heriotza-tasa,Diabetesa,,Bizkaia,,,100.000 biztanleko,Bizkaia,20.4
2014,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,100.000 biztanleko,Bizkaia,669.0
2022,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,100.000 biztanleko,Bizkaia,659.6
2011,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,100.000 biztanleko,Bizkaia,282.1
2021,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,100.000 biztanleko,Bizkaia,57.9
2021,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,100.000 biztanleko,Bizkaia,648.0
2011,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,100.000 biztanleko,Bizkaia,662.9
2022,Heriotza-tasa,Diabetesa,,Bizkaia,,,100.000 biztanleko,Bizkaia,21.6
2020,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,100.000 biztanleko,Bizkaia,57.2
2010,Heriotza-tasa,Diabetesa,,Bizkaia,,,100.000 biztanleko,Bizkaia,22.0
