Year,Teknologia,Lurralde historikoa,Units,Value
2010,"Zuntz hibridoa, kable ardazkidea (HFC)",Gipuzkoa,100 pertsonako,10.0
2011,"Zuntz hibridoa, kable ardazkidea (HFC)",Gipuzkoa,100 pertsonako,10.7
2013,"Zuntz hibridoa, kable ardazkidea (HFC)",Gipuzkoa,100 pertsonako,11.3
2024,Beste teknologia batzuk,,100 pertsonako,0.8
2013,Beste teknologia batzuk,,100 pertsonako,0.2
2015,Beste teknologia batzuk,,100 pertsonako,0.2
2014,Beste teknologia batzuk,,100 pertsonako,0.2
2021,Beste teknologia batzuk,,100 pertsonako,0.3
2017,Beste teknologia batzuk,,100 pertsonako,0.3
2016,Beste teknologia batzuk,,100 pertsonako,0.3
2012,Beste teknologia batzuk,,100 pertsonako,0.2
2018,Beste teknologia batzuk,,100 pertsonako,0.3
2020,Beste teknologia batzuk,,100 pertsonako,0.3
2019,Beste teknologia batzuk,,100 pertsonako,0.3
2011,Beste teknologia batzuk,,100 pertsonako,0.2
2010,Beste teknologia batzuk,,100 pertsonako,0.2
2023,Beste teknologia batzuk,,100 pertsonako,0.8
2022,Beste teknologia batzuk,,100 pertsonako,0.3
2012,Beste teknologia batzuk,Araba / Álava,100 pertsonako,0.4
2010,Beste teknologia batzuk,Araba / Álava,100 pertsonako,0.5
2021,Beste teknologia batzuk,Araba / Álava,100 pertsonako,0.3
2011,Beste teknologia batzuk,Araba / Álava,100 pertsonako,0.4
2013,Beste teknologia batzuk,Araba / Álava,100 pertsonako,0.4
2017,Beste teknologia batzuk,Araba / Álava,100 pertsonako,0.4
2016,Beste teknologia batzuk,Araba / Álava,100 pertsonako,0.4
2015,Beste teknologia batzuk,Araba / Álava,100 pertsonako,0.4
2018,Beste teknologia batzuk,Araba / Álava,100 pertsonako,0.5
2024,Beste teknologia batzuk,Araba / Álava,100 pertsonako,0.7
2019,Beste teknologia batzuk,Araba / Álava,100 pertsonako,0.4
2023,Beste teknologia batzuk,Araba / Álava,100 pertsonako,0.8
2022,Beste teknologia batzuk,Araba / Álava,100 pertsonako,0.3
2020,Beste teknologia batzuk,Araba / Álava,100 pertsonako,0.3
2014,Beste teknologia batzuk,Araba / Álava,100 pertsonako,0.4
2024,Beste teknologia batzuk,Bizkaia,100 pertsonako,0.7
2023,Beste teknologia batzuk,Bizkaia,100 pertsonako,0.7
2022,Beste teknologia batzuk,Bizkaia,100 pertsonako,0.3
