Year,Profesion,SituacLabor,Sexo,Territorio,Units,Value
2010,,,M,ES211,PER_10000_POP,75.2
2016,,EU_SIT_NOJUB,M,ES211,PER_10000_POP,68.1
2021,,,M,ES211,PER_10000_POP,86.3
2017,,EU_SIT_NOJUB,M,ES211,PER_10000_POP,68.1
2024,,EU_SIT_JUB,M,ES211,PER_10000_POP,19.2
2025,,EU_SIT_NOJUB,M,ES211,PER_10000_POP,68.1
2010,,EU_SIT_JUB,M,ES211,PER_10000_POP,7.2
2023,,,M,ES211,PER_10000_POP,86.2
2021,,EU_SIT_NOJUB,M,ES211,PER_10000_POP,69.2
2014,,,M,ES211,PER_10000_POP,78.6
2012,,EU_SIT_JUB,M,ES211,PER_10000_POP,8.0
2015,,,M,ES211,PER_10000_POP,79.4
2016,,,M,ES211,PER_10000_POP,80.6
2023,,EU_SIT_NOJUB,M,ES211,PER_10000_POP,66.8
2025,,,M,ES211,PER_10000_POP,88.0
2024,,EU_SIT_NOJUB,M,ES211,PER_10000_POP,67.3
2016,,EU_SIT_JUB,M,ES211,PER_10000_POP,12.5
2017,,EU_SIT_JUB,M,ES211,PER_10000_POP,13.7
2012,,,M,ES211,PER_10000_POP,76.3
2018,,EU_SIT_JUB,M,ES211,PER_10000_POP,14.5
2014,,EU_SIT_JUB,M,ES211,PER_10000_POP,9.7
2025,,EU_SIT_JUB,M,ES211,PER_10000_POP,20.0
2018,,EU_SIT_NOJUB,M,ES211,PER_10000_POP,68.1
2011,,EU_SIT_NOJUB,M,ES211,PER_10000_POP,62.9
