Year,Sexua,Adina,Egoitza,Desgaitasunik ez duten pertsonak,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2021,,16 urte eta gehiago,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,10.7
2018,,16 urte eta gehiago,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,11.4
2016,,16 urte eta gehiago,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,14.8
2010,,16 urte eta gehiago,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,8.7
2020,,16 urte eta gehiago,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,10.1
2015,,16 urte eta gehiago,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,15.3
2015,,16 urte eta gehiago,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,13.0
2020,,16 urte eta gehiago,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,7.5
2019,,16 urte eta gehiago,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,8.1
2016,,16 urte eta gehiago,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,11.8
2021,,16 urte eta gehiago,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,8.4
2010,,16 urte eta gehiago,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,7.8
2018,,16 urte eta gehiago,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,8.2
2018,,16 urte eta gehiago,,,,Donostialdea,,%,Donostialdea,9.7
2020,,16 urte eta gehiago,,,,Donostialdea,,%,Donostialdea,8.2
2019,,16 urte eta gehiago,,,,Donostialdea,,%,Donostialdea,8.7
2015,,16 urte eta gehiago,,,,Donostialdea,,%,Donostialdea,14.1
2021,,16 urte eta gehiago,,,,Donostialdea,,%,Donostialdea,9.5
2016,,16 urte eta gehiago,,,,Donostialdea,,%,Donostialdea,12.9
2010,,16 urte eta gehiago,,,,Donostialdea,,%,Donostialdea,8.8
2016,,16 urte eta gehiago,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,13.3
2021,,16 urte eta gehiago,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,10.1
2015,,16 urte eta gehiago,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,15.0
2010,,16 urte eta gehiago,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,9.5
