Year,Habilidad_IT,Sexo,Edad,Territorio,Units,Value
2023,ICTCPT,M,Y25T74,ES213,PT,53.4
2022,ICTCPT,M,Y25T74,ES212,PT,54.18
2020,ICTCPT,M,Y25T74,ES212,PT,53.66
2021,ICTCPT,M,Y25T74,ES212,PT,56.08
2019,ICTCPT,M,Y25T74,ES212,PT,52.15
2023,ICTCPT,M,Y25T74,ES212,PT,53.59
2019,ICTPST,,Y16T24,,PT,85.32
2021,ICTPST,,Y16T24,,PT,82.84
2022,ICTPST,,Y16T24,,PT,81.29
2023,ICTPST,,Y16T24,,PT,83.54
2020,ICTPST,,Y16T24,,PT,86.45
2023,ICTPST,,Y16T24,ES211,PT,83.61
2021,ICTPST,,Y16T24,ES211,PT,77.02
2022,ICTPST,,Y16T24,ES211,PT,83.68
2019,ICTPST,,Y16T24,ES211,PT,89.2
2020,ICTPST,,Y16T24,ES211,PT,78.9
2020,ICTPST,,Y16T24,ES213,PT,86.64
2023,ICTPST,,Y16T24,ES213,PT,82.03
2021,ICTPST,,Y16T24,ES213,PT,83.32
2022,ICTPST,,Y16T24,ES213,PT,82.68
2019,ICTPST,,Y16T24,ES213,PT,88.1
2023,ICTPST,,Y16T24,ES212,PT,85.71
2022,ICTPST,,Y16T24,ES212,PT,78.19
2021,ICTPST,,Y16T24,ES212,PT,84.72
2019,ICTPST,,Y16T24,ES212,PT,79.9
2020,ICTPST,,Y16T24,ES212,PT,89.58
2021,ICTPST,,Y16T74,,PT,45.95
2022,ICTPST,,Y16T74,,PT,42.31
2020,ICTPST,,Y16T74,,PT,45.0
2019,ICTPST,,Y16T74,,PT,42.23
2023,ICTPST,,Y16T74,,PT,41.06
2020,ICTPST,,Y16T74,ES211,PT,43.03
2023,ICTPST,,Y16T74,ES211,PT,38.38
2021,ICTPST,,Y16T74,ES211,PT,46.61
2022,ICTPST,,Y16T74,ES211,PT,43.54
2019,ICTPST,,Y16T74,ES211,PT,41.77
2020,ICTPST,,Y16T74,ES213,PT,45.11
2019,ICTPST,,Y16T74,ES213,PT,42.38
2021,ICTPST,,Y16T74,ES213,PT,46.11
2022,ICTPST,,Y16T74,ES213,PT,41.94
2023,ICTPST,,Y16T74,ES213,PT,40.68
2023,ICTPST,,Y16T74,ES212,PT,42.92
2022,ICTPST,,Y16T74,ES212,PT,42.32
2019,ICTPST,,Y16T74,ES212,PT,42.21
2021,ICTPST,,Y16T74,ES212,PT,45.38
2020,ICTPST,,Y16T74,ES212,PT,45.75
2022,ICTPST,,Y25T74,,PT,37.16
2020,ICTPST,,Y25T74,,PT,39.86
2021,ICTPST,,Y25T74,,PT,41.0
2023,ICTPST,,Y25T74,,PT,35.44
2019,ICTPST,,Y25T74,,PT,37.38
2019,ICTPST,,Y25T74,ES211,PT,36.41
2023,ICTPST,,Y25T74,ES211,PT,32.14
2020,ICTPST,,Y25T74,ES211,PT,38.53
2021,ICTPST,,Y25T74,ES211,PT,42.45
2022,ICTPST,,Y25T74,ES211,PT,38.74
2020,ICTPST,,Y25T74,ES213,PT,40.16
2023,ICTPST,,Y25T74,ES213,PT,35.46
2019,ICTPST,,Y25T74,ES213,PT,37.57
2021,ICTPST,,Y25T74,ES213,PT,41.38
2022,ICTPST,,Y25T74,ES213,PT,36.63
2020,ICTPST,,Y25T74,ES212,PT,40.01
2021,ICTPST,,Y25T74,ES212,PT,39.69
2022,ICTPST,,Y25T74,ES212,PT,37.28
2019,ICTPST,,Y25T74,ES212,PT,37.51
2023,ICTPST,,Y25T74,ES212,PT,36.94
