Year,Series,Sexo,Edad,Territorio histórico,Units,Value
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Bizkaia,Porcentaje,12.5
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Bizkaia,Porcentaje,21.8
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Bizkaia,Porcentaje,23.0
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Gipuzkoa,Porcentaje,19.5
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Gipuzkoa,Porcentaje,18.1
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Gipuzkoa,Porcentaje,13.7
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Gipuzkoa,Porcentaje,13.4
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Gipuzkoa,Porcentaje,17.1
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Gipuzkoa,Porcentaje,22.2
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Gipuzkoa,Porcentaje,17.2
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Gipuzkoa,Porcentaje,19.6
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Gipuzkoa,Porcentaje,21.6
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Gipuzkoa,Porcentaje,22.1
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Gipuzkoa,Porcentaje,19.7
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Gipuzkoa,Porcentaje,24.1
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Gipuzkoa,Porcentaje,19.7
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,15-64 años,Gipuzkoa,Porcentaje,13.4
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,,Porcentaje,7.8
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,,Porcentaje,3.1
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,,Porcentaje,2.5
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,,Porcentaje,11.0
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,,Porcentaje,11.8
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,,Porcentaje,9.5
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,,Porcentaje,10.0
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,,Porcentaje,12.5
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,,Porcentaje,9.6
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,,Porcentaje,8.8
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,,Porcentaje,3.1
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,,Porcentaje,8.4
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,,Porcentaje,13.9
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,,Porcentaje,11.3
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Araba/Álava,Porcentaje,10.0
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Araba/Álava,Porcentaje,12.0
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Araba/Álava,Porcentaje,12.1
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Araba/Álava,Porcentaje,14.9
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Araba/Álava,Porcentaje,12.3
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Araba/Álava,Porcentaje,8.2
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Araba/Álava,Porcentaje,2.4
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Araba/Álava,Porcentaje,1.9
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Araba/Álava,Porcentaje,14.5
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Araba/Álava,Porcentaje,10.0
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Araba/Álava,Porcentaje,9.8
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Araba/Álava,Porcentaje,14.6
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Araba/Álava,Porcentaje,8.4
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Araba/Álava,Porcentaje,2.3
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Bizkaia,Porcentaje,2.7
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Bizkaia,Porcentaje,11.6
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Bizkaia,Porcentaje,2.4
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Bizkaia,Porcentaje,10.4
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Bizkaia,Porcentaje,8.4
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Bizkaia,Porcentaje,13.0
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Bizkaia,Porcentaje,9.0
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Bizkaia,Porcentaje,10.0
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Bizkaia,Porcentaje,9.9
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Bizkaia,Porcentaje,11.8
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Bizkaia,Porcentaje,12.5
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Bizkaia,Porcentaje,10.4
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Bizkaia,Porcentaje,8.0
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Bizkaia,Porcentaje,1.7
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Gipuzkoa,Porcentaje,10.5
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Gipuzkoa,Porcentaje,4.2
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Gipuzkoa,Porcentaje,7.9
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Gipuzkoa,Porcentaje,4.6
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Gipuzkoa,Porcentaje,12.8
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Gipuzkoa,Porcentaje,9.0
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Gipuzkoa,Porcentaje,15.0
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Gipuzkoa,Porcentaje,7.4
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Gipuzkoa,Porcentaje,8.7
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Gipuzkoa,Porcentaje,10.3
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Gipuzkoa,Porcentaje,10.7
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Gipuzkoa,Porcentaje,7.4
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Gipuzkoa,Porcentaje,3.7
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Hombre,25-64 años,Gipuzkoa,Porcentaje,8.9
2011,Tasa de participación en actividades educativas en los últimos 12 meses,,18-64 años,,Porcentaje,46.2
2016,Tasa de participación en actividades educativas en los últimos 12 meses,,18-64 años,,Porcentaje,48.1
2022,Tasa de participación en actividades educativas en los últimos 12 meses,,18-64 años,,Porcentaje,52.9
2011,Tasa de participación en actividades educativas en los últimos 12 meses,Mujer,18-64 años,,Porcentaje,49.9
2022,Tasa de participación en actividades educativas en los últimos 12 meses,Mujer,18-64 años,,Porcentaje,54.8
2016,Tasa de participación en actividades educativas en los últimos 12 meses,Mujer,18-64 años,,Porcentaje,48.0
2022,Tasa de participación en actividades educativas en los últimos 12 meses,Hombre,18-64 años,,Porcentaje,51.0
2016,Tasa de participación en actividades educativas en los últimos 12 meses,Hombre,18-64 años,,Porcentaje,48.1
2011,Tasa de participación en actividades educativas en los últimos 12 meses,Hombre,18-64 años,,Porcentaje,42.5
