Year,Habilidad informática,Sexo,Edad,Territorio histórico,Units,Value
2019,Copiar o mover ficheros o carpetas,Hombre,16-24 años,Araba/Álava,%,90.23
2022,Copiar o mover ficheros o carpetas,Hombre,16-24 años,Araba/Álava,%,73.96
2021,Copiar o mover ficheros o carpetas,Hombre,16-24 años,Bizkaia,%,89.47
2020,Copiar o mover ficheros o carpetas,Hombre,16-24 años,Bizkaia,%,81.67
2023,Copiar o mover ficheros o carpetas,Hombre,16-24 años,Bizkaia,%,83.88
2019,Copiar o mover ficheros o carpetas,Hombre,16-24 años,Bizkaia,%,87.06
2022,Copiar o mover ficheros o carpetas,Hombre,16-24 años,Bizkaia,%,85.75
2022,Copiar o mover ficheros o carpetas,Hombre,16-24 años,Gipuzkoa,%,89.39
2020,Copiar o mover ficheros o carpetas,Hombre,16-24 años,Gipuzkoa,%,92.67
2023,Copiar o mover ficheros o carpetas,Hombre,16-24 años,Gipuzkoa,%,84.13
2019,Copiar o mover ficheros o carpetas,Hombre,16-24 años,Gipuzkoa,%,80.51
2021,Copiar o mover ficheros o carpetas,Hombre,16-24 años,Gipuzkoa,%,85.97
2020,Copiar o mover ficheros o carpetas,Hombre,16-74 años,,%,57.3
2022,Copiar o mover ficheros o carpetas,Hombre,16-74 años,,%,57.94
2023,Copiar o mover ficheros o carpetas,Hombre,16-74 años,,%,56.67
2021,Copiar o mover ficheros o carpetas,Hombre,16-74 años,,%,62.72
2019,Copiar o mover ficheros o carpetas,Hombre,16-74 años,,%,57.75
2019,Copiar o mover ficheros o carpetas,Hombre,16-74 años,Araba/Álava,%,60.01
2023,Copiar o mover ficheros o carpetas,Hombre,16-74 años,Araba/Álava,%,54.1
2021,Copiar o mover ficheros o carpetas,Hombre,16-74 años,Araba/Álava,%,64.32
2022,Copiar o mover ficheros o carpetas,Hombre,16-74 años,Araba/Álava,%,55.89
2020,Copiar o mover ficheros o carpetas,Hombre,16-74 años,Araba/Álava,%,54.32
2020,Copiar o mover ficheros o carpetas,Hombre,16-74 años,Bizkaia,%,57.51
2023,Copiar o mover ficheros o carpetas,Hombre,16-74 años,Bizkaia,%,56.95
2021,Copiar o mover ficheros o carpetas,Hombre,16-74 años,Bizkaia,%,63.83
2022,Copiar o mover ficheros o carpetas,Hombre,16-74 años,Bizkaia,%,58.08
2019,Copiar o mover ficheros o carpetas,Hombre,16-74 años,Bizkaia,%,58.64
