Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
ES20046,Irura,Irura,Irura,40,17
ES20047,Itsasondo,Itsasondo,Itsasondo,40,17
ES20048,Larraul,Larraul,Larraul,40,17
ES20049,Lazkao,Lazkao,Lazkao,40,17
ES20050,Leaburu,Leaburu,Leaburu,40,17
ES20051,Legazpi,Legazpi,Legazpi,40,17
ES20052,Legorreta,Legorreta,Legorreta,40,17
ES20053,Lezo,Lezo,Lezo,40,17
ES20054,Lizartza,Lizartza,Lizartza,40,17
ES20055,Arrasate / Mondragón,Arrasate/Mondragón,Arrasate/Mondragón,40,17
ES20056,Mutriku,Mutriku,Mutriku,40,17
ES20057,Mutiloa,Mutiloa,Mutiloa,40,17
ES20058,Olaberria,Olaberria,Olaberria,40,17
ES20059,Oñati,Oñati,Oñati,40,17
ES20060,Orexa,Orexa,Orexa,40,17
ES20061,Orio,Orio,Orio,40,17
ES20062,Ormaiztegi,Ormaiztegi,Ormaiztegi,40,17
ES20063,Oiartzun,Oiartzun,Oiartzun,40,17
ES20064,Pasaia,Pasaia,Pasaia,40,17
ES20065,Soraluze-Placencia de las Armas,Soraluze-Placencia de las Armas,Soraluze-Placencia de las Armas,40,17
ES20066,Errezil,Errezil,Errezil,40,17
ES20067,Errenteria,Errenteria,Errenteria,40,17
ES20068,Leintz-Gatzaga,Leintz-Gatzaga,Leintz-Gatzaga,40,17
ES20069,Donostia / San Sebastián,Donostia / San Sebastián,Donostia / San Sebastián,40,17
ES20070,Segura,Segura,Segura,40,17
ES20071,Tolosa,Tolosa,Tolosa,40,17
ES20072,Urnieta,Urnieta,Urnieta,40,17
ES20073,Usurbil,Usurbil,Usurbil,40,17
ES20074,Bergara,Bergara,Bergara,40,17
ES20075,Villabona,Villabona,Villabona,40,17
ES20076,Ordizia,Ordizia,Ordizia,40,17
ES20077,Urretxu,Urretxu,Urretxu,40,17
ES20078,Zaldibia,Zaldibia,Zaldibia,40,17
ES20079,Zarautz,Zarautz,Zarautz,40,17
ES20080,Zumarraga,Zumarraga,Zumarraga,40,17
ES20081,Zumaia,Zumaia,Zumaia,40,17
ES20901,Mendaro,Mendaro,Mendaro,40,17
ES20902,Lasarte-Oria,Lasarte-Oria,Lasarte-Oria,40,17
ES20903,Astigarraga,Astigarraga,Astigarraga,40,17
ES20904,Baliarrain,Baliarrain,Baliarrain,40,17
ES20905,Orendain,Orendain,Orendain,40,17
ES20906,Altzaga,Altzaga,Altzaga,40,17
ES20907,Gaztelu,Gaztelu,Gaztelu,40,17
ES48001,Abadiño,Abadiño,Abadiño,40,17
ES48002,Abanto y Ciérvana-Abanto Zierbena,Abanto y Ciérvana-Abanto Zierbena,Abanto y Ciérvana-Abanto Zierbena,40,17
ES48003,Amorebieta-Etxano,Amorebieta-Etxano,Amorebieta-Etxano,40,17
ES48004,Amoroto,Amoroto,Amoroto,40,17
ES48005,Arakaldo,Arakaldo,Arakaldo,40,17
ES48006,Arantzazu,Arantzazu,Arantzazu,40,17
