Year,Series,Sexo,Territorio histórico,Units,Value
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,100.0
2024,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,95.3
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,96.0
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,98.2
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,99.5
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,97.0
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,100.0
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,100.0
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,100.0
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,100.0
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,100.0
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,99.0
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,94.8
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,100.0
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,100.0
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Gipuzkoa,Porcentaje,100.0
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Gipuzkoa,Porcentaje,99.6
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Gipuzkoa,Porcentaje,100.0
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Gipuzkoa,Porcentaje,100.0
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Gipuzkoa,Porcentaje,100.0
