Year,Sex,Age,Residence,People with and without disabilities,Province,County,Municipality,Units,GeoCode,Value
2015,Male,16 years and over,,,,,Murueta,PT,Murueta,2.4
2010,Male,16 years and over,,,,,Murueta,PT,Murueta,5.6
2019,Male,16 years and over,,,,,Murueta,PT,Murueta,7.4
2015,Male,16 years and over,,,,,Muskiz,PT,Muskiz,18.4
2010,Male,16 years and over,,,,,Muskiz,PT,Muskiz,10.0
2019,Male,16 years and over,,,,,Muskiz,PT,Muskiz,9.9
2020,Male,16 years and over,,,,,Muskiz,PT,Muskiz,10.5
2021,Male,16 years and over,,,,,Muskiz,PT,Muskiz,10.6
2018,Male,16 years and over,,,,,Muskiz,PT,Muskiz,9.9
2016,Male,16 years and over,,,,,Muskiz,PT,Muskiz,16.5
2020,Male,16 years and over,,,,,Mutiloa,PT,Mutiloa,9.2
2015,Male,16 years and over,,,,,Mutiloa,PT,Mutiloa,14.7
2010,Male,16 years and over,,,,,Mutiloa,PT,Mutiloa,5.9
2018,Male,16 years and over,,,,,Mutiloa,PT,Mutiloa,2.7
2019,Male,16 years and over,,,,,Mutiloa,PT,Mutiloa,2.7
2021,Male,16 years and over,,,,,Mutiloa,PT,Mutiloa,2.9
2016,Male,16 years and over,,,,,Mutiloa,PT,Mutiloa,4.5
2020,Male,16 years and over,,,,,Mutriku,PT,Mutriku,9.2
2019,Male,16 years and over,,,,,Mutriku,PT,Mutriku,10.2
2010,Male,16 years and over,,,,,Mutriku,PT,Mutriku,9.5
2021,Male,16 years and over,,,,,Mutriku,PT,Mutriku,10.0
2015,Male,16 years and over,,,,,Mutriku,PT,Mutriku,14.5
2016,Male,16 years and over,,,,,Mutriku,PT,Mutriku,14.3
2018,Male,16 years and over,,,,,Mutriku,PT,Mutriku,10.8
2010,Male,16 years and over,,,,,Muxika,PT,Muxika,8.4
2019,Male,16 years and over,,,,,Muxika,PT,Muxika,11.1
2018,Male,16 years and over,,,,,Muxika,PT,Muxika,10.4
2021,Male,16 years and over,,,,,Muxika,PT,Muxika,9.6
2016,Male,16 years and over,,,,,Muxika,PT,Muxika,10.7
2020,Male,16 years and over,,,,,Muxika,PT,Muxika,8.8
2015,Male,16 years and over,,,,,Muxika,PT,Muxika,11.8
2015,Male,16 years and over,,,,,Nabarniz,PT,Nabarniz,11.5
2020,Male,16 years and over,,,,,Nabarniz,PT,Nabarniz,4.9
2010,Male,16 years and over,,,,,Nabarniz,PT,Nabarniz,3.2
2016,Male,16 years and over,,,,,Nabarniz,PT,Nabarniz,8.5
2019,Male,16 years and over,,,,,Nabarniz,PT,Nabarniz,3.6
2018,Male,16 years and over,,,,,Nabarniz,PT,Nabarniz,4.5
2021,Male,16 years and over,,,,,Nabarniz,PT,Nabarniz,7.9
2016,Male,16 years and over,,,,,Navaridas,PT,Navaridas,9.7
2019,Male,16 years and over,,,,,Navaridas,PT,Navaridas,4.3
2015,Male,16 years and over,,,,,Navaridas,PT,Navaridas,16.3
2018,Male,16 years and over,,,,,Navaridas,PT,Navaridas,7.5
2021,Male,16 years and over,,,,,Navaridas,PT,Navaridas,15.3
2010,Male,16 years and over,,,,,Navaridas,PT,Navaridas,1.7
2020,Male,16 years and over,,,,,Navaridas,PT,Navaridas,1.6
2015,Male,16 years and over,,,,,Oiartzun,PT,Oiartzun,11.7
2021,Male,16 years and over,,,,,Oiartzun,PT,Oiartzun,7.1
2018,Male,16 years and over,,,,,Oiartzun,PT,Oiartzun,6.7
2019,Male,16 years and over,,,,,Oiartzun,PT,Oiartzun,5.2
2010,Male,16 years and over,,,,,Oiartzun,PT,Oiartzun,7.2
2016,Male,16 years and over,,,,,Oiartzun,PT,Oiartzun,9.8
2020,Male,16 years and over,,,,,Oiartzun,PT,Oiartzun,6.2
2021,Male,16 years and over,,,,,Okondo,PT,Okondo,7.7
2018,Male,16 years and over,,,,,Okondo,PT,Okondo,7.9
2020,Male,16 years and over,,,,,Okondo,PT,Okondo,6.6
2019,Male,16 years and over,,,,,Okondo,PT,Okondo,7.5
2010,Male,16 years and over,,,,,Okondo,PT,Okondo,8.8
2015,Male,16 years and over,,,,,Okondo,PT,Okondo,13.3
2016,Male,16 years and over,,,,,Okondo,PT,Okondo,13.9
2015,Male,16 years and over,,,,,Olaberria,PT,Olaberria,11.3
2021,Male,16 years and over,,,,,Olaberria,PT,Olaberria,8.1
2019,Male,16 years and over,,,,,Olaberria,PT,Olaberria,5.3
2010,Male,16 years and over,,,,,Olaberria,PT,Olaberria,8.1
2016,Male,16 years and over,,,,,Olaberria,PT,Olaberria,9.2
2018,Male,16 years and over,,,,,Olaberria,PT,Olaberria,8.0
2020,Male,16 years and over,,,,,Olaberria,PT,Olaberria,6.3
2016,Male,16 years and over,,,,,Ondarroa,PT,Ondarroa,16.3
2020,Male,16 years and over,,,,,Ondarroa,PT,Ondarroa,11.2
2015,Male,16 years and over,,,,,Ondarroa,PT,Ondarroa,20.5
2021,Male,16 years and over,,,,,Ondarroa,PT,Ondarroa,13.6
2019,Male,16 years and over,,,,,Ondarroa,PT,Ondarroa,11.9
2018,Male,16 years and over,,,,,Ondarroa,PT,Ondarroa,12.0
2010,Male,16 years and over,,,,,Ondarroa,PT,Ondarroa,12.7
2016,Male,16 years and over,,,,,Oñati,PT,Oñati,7.0
2019,Male,16 years and over,,,,,Oñati,PT,Oñati,4.4
2018,Male,16 years and over,,,,,Oñati,PT,Oñati,5.4
2015,Male,16 years and over,,,,,Oñati,PT,Oñati,8.9
2010,Male,16 years and over,,,,,Oñati,PT,Oñati,7.0
2020,Male,16 years and over,,,,,Oñati,PT,Oñati,4.8
2021,Male,16 years and over,,,,,Oñati,PT,Oñati,6.5
2019,Male,16 years and over,,,,,Ordizia,PT,Ordizia,6.8
2015,Male,16 years and over,,,,,Ordizia,PT,Ordizia,15.3
2018,Male,16 years and over,,,,,Ordizia,PT,Ordizia,6.7
2021,Male,16 years and over,,,,,Ordizia,PT,Ordizia,8.1
2020,Male,16 years and over,,,,,Ordizia,PT,Ordizia,7.1
2016,Male,16 years and over,,,,,Ordizia,PT,Ordizia,11.4
2010,Male,16 years and over,,,,,Ordizia,PT,Ordizia,9.0
2015,Male,16 years and over,,,,,Orendain,PT,Orendain,8.8
2018,Male,16 years and over,,,,,Orendain,PT,Orendain,3.6
2016,Male,16 years and over,,,,,Orendain,PT,Orendain,3.4
2010,Male,16 years and over,,,,,Orendain,PT,Orendain,3.8
2019,Male,16 years and over,,,,,Orendain,PT,Orendain,3.6
2020,Male,16 years and over,,,,,Orendain,PT,Orendain,3.6
2021,Male,16 years and over,,,,,Orendain,PT,Orendain,1.5
2016,Male,16 years and over,,,,,Orexa,PT,Orexa,3.1
2020,Male,16 years and over,,,,,Orexa,PT,Orexa,3.3
2021,Male,16 years and over,,,,,Orexa,PT,Orexa,0.0
2018,Male,16 years and over,,,,,Orexa,PT,Orexa,3.8
2015,Male,16 years and over,,,,,Orexa,PT,Orexa,6.5
2010,Male,16 years and over,,,,,Orexa,PT,Orexa,10.5
2019,Male,16 years and over,,,,,Orexa,PT,Orexa,0.0
2015,Male,16 years and over,,,,,Orio,PT,Orio,17.2
2019,Male,16 years and over,,,,,Orio,PT,Orio,9.7
2021,Male,16 years and over,,,,,Orio,PT,Orio,9.8
2016,Male,16 years and over,,,,,Orio,PT,Orio,13.6
2018,Male,16 years and over,,,,,Orio,PT,Orio,11.3
2020,Male,16 years and over,,,,,Orio,PT,Orio,9.2
2010,Male,16 years and over,,,,,Orio,PT,Orio,9.2
2021,Male,16 years and over,,,,,Ormaiztegi,PT,Ormaiztegi,6.4
2018,Male,16 years and over,,,,,Ormaiztegi,PT,Ormaiztegi,8.2
2010,Male,16 years and over,,,,,Ormaiztegi,PT,Ormaiztegi,7.0
2020,Male,16 years and over,,,,,Ormaiztegi,PT,Ormaiztegi,5.8
2016,Male,16 years and over,,,,,Ormaiztegi,PT,Ormaiztegi,7.6
2019,Male,16 years and over,,,,,Ormaiztegi,PT,Ormaiztegi,4.1
2015,Male,16 years and over,,,,,Ormaiztegi,PT,Ormaiztegi,11.4
2019,Male,16 years and over,,,,,Orozko,PT,Orozko,8.0
2020,Male,16 years and over,,,,,Orozko,PT,Orozko,8.3
2015,Male,16 years and over,,,,,Orozko,PT,Orozko,11.5
2010,Male,16 years and over,,,,,Orozko,PT,Orozko,6.0
2018,Male,16 years and over,,,,,Orozko,PT,Orozko,10.4
2021,Male,16 years and over,,,,,Orozko,PT,Orozko,10.2
2016,Male,16 years and over,,,,,Orozko,PT,Orozko,11.2
2019,Male,16 years and over,,,,,Ortuella,PT,Ortuella,12.1
2020,Male,16 years and over,,,,,Ortuella,PT,Ortuella,10.8
2010,Male,16 years and over,,,,,Ortuella,PT,Ortuella,10.1
2015,Male,16 years and over,,,,,Ortuella,PT,Ortuella,19.4
2021,Male,16 years and over,,,,,Ortuella,PT,Ortuella,12.6
2018,Male,16 years and over,,,,,Ortuella,PT,Ortuella,13.4
2016,Male,16 years and over,,,,,Ortuella,PT,Ortuella,18.1
2016,Male,16 years and over,,,,,Otxandio,PT,Otxandio,11.7
2019,Male,16 years and over,,,,,Otxandio,PT,Otxandio,8.2
2020,Male,16 years and over,,,,,Otxandio,PT,Otxandio,7.2
2021,Male,16 years and over,,,,,Otxandio,PT,Otxandio,8.9
2018,Male,16 years and over,,,,,Otxandio,PT,Otxandio,8.9
2015,Male,16 years and over,,,,,Otxandio,PT,Otxandio,11.4
2010,Male,16 years and over,,,,,Otxandio,PT,Otxandio,10.2
2018,Male,16 years and over,,,,,Oyón-Oion,PT,Oyón-Oion,16.4
2019,Male,16 years and over,,,,,Oyón-Oion,PT,Oyón-Oion,14.8
2021,Male,16 years and over,,,,,Oyón-Oion,PT,Oyón-Oion,14.0
2020,Male,16 years and over,,,,,Oyón-Oion,PT,Oyón-Oion,14.1
2010,Male,16 years and over,,,,,Oyón-Oion,PT,Oyón-Oion,22.7
2016,Male,16 years and over,,,,,Oyón-Oion,PT,Oyón-Oion,21.8
2015,Male,16 years and over,,,,,Oyón-Oion,PT,Oyón-Oion,24.5
2021,Male,16 years and over,,,,,Pasaia,PT,Pasaia,11.3
2020,Male,16 years and over,,,,,Pasaia,PT,Pasaia,10.2
2015,Male,16 years and over,,,,,Pasaia,PT,Pasaia,18.9
2018,Male,16 years and over,,,,,Pasaia,PT,Pasaia,11.4
2019,Male,16 years and over,,,,,Pasaia,PT,Pasaia,10.9
2016,Male,16 years and over,,,,,Pasaia,PT,Pasaia,15.7
2010,Male,16 years and over,,,,,Pasaia,PT,Pasaia,11.9
2020,Male,16 years and over,,,,,Peñacerrada-Urizaharra,PT,Peñacerrada-Urizaharra,7.8
2016,Male,16 years and over,,,,,Peñacerrada-Urizaharra,PT,Peñacerrada-Urizaharra,2.2
2019,Male,16 years and over,,,,,Peñacerrada-Urizaharra,PT,Peñacerrada-Urizaharra,7.1
2018,Male,16 years and over,,,,,Peñacerrada-Urizaharra,PT,Peñacerrada-Urizaharra,3.1
2010,Male,16 years and over,,,,,Peñacerrada-Urizaharra,PT,Peñacerrada-Urizaharra,11.9
2021,Male,16 years and over,,,,,Peñacerrada-Urizaharra,PT,Peñacerrada-Urizaharra,4.5
2015,Male,16 years and over,,,,,Peñacerrada-Urizaharra,PT,Peñacerrada-Urizaharra,8.6
2018,Male,16 years and over,,,,,Plentzia,PT,Plentzia,8.9
2016,Male,16 years and over,,,,,Plentzia,PT,Plentzia,13.5
2015,Male,16 years and over,,,,,Plentzia,PT,Plentzia,17.8
2020,Male,16 years and over,,,,,Plentzia,PT,Plentzia,10.2
2010,Male,16 years and over,,,,,Plentzia,PT,Plentzia,9.1
2019,Male,16 years and over,,,,,Plentzia,PT,Plentzia,10.1
2021,Male,16 years and over,,,,,Plentzia,PT,Plentzia,9.8
2018,Male,16 years and over,,,,,Portugalete,PT,Portugalete,13.3
2019,Male,16 years and over,,,,,Portugalete,PT,Portugalete,11.9
2016,Male,16 years and over,,,,,Portugalete,PT,Portugalete,17.2
2021,Male,16 years and over,,,,,Portugalete,PT,Portugalete,13.2
2020,Male,16 years and over,,,,,Portugalete,PT,Portugalete,12.6
2015,Male,16 years and over,,,,,Portugalete,PT,Portugalete,18.2
2010,Male,16 years and over,,,,,Portugalete,PT,Portugalete,10.6
2021,Male,16 years and over,,,,,Ribera Baja/Erriberabeitia,PT,Ribera Baja/Erriberabeitia,8.6
2019,Male,16 years and over,,,,,Ribera Baja/Erriberabeitia,PT,Ribera Baja/Erriberabeitia,6.8
2018,Male,16 years and over,,,,,Ribera Baja/Erriberabeitia,PT,Ribera Baja/Erriberabeitia,8.7
2016,Male,16 years and over,,,,,Ribera Baja/Erriberabeitia,PT,Ribera Baja/Erriberabeitia,13.5
2015,Male,16 years and over,,,,,Ribera Baja/Erriberabeitia,PT,Ribera Baja/Erriberabeitia,20.2
2010,Male,16 years and over,,,,,Ribera Baja/Erriberabeitia,PT,Ribera Baja/Erriberabeitia,14.6
2020,Male,16 years and over,,,,,Ribera Baja/Erriberabeitia,PT,Ribera Baja/Erriberabeitia,7.2
2010,Male,16 years and over,,,,,Samaniego,PT,Samaniego,1.1
2019,Male,16 years and over,,,,,Samaniego,PT,Samaniego,7.5
2015,Male,16 years and over,,,,,Samaniego,PT,Samaniego,10.8
2021,Male,16 years and over,,,,,Samaniego,PT,Samaniego,10.4
2018,Male,16 years and over,,,,,Samaniego,PT,Samaniego,1.6
2016,Male,16 years and over,,,,,Samaniego,PT,Samaniego,5.2
2020,Male,16 years and over,,,,,Samaniego,PT,Samaniego,1.7
2019,Male,16 years and over,,,,,San Millán/Donemiliaga,PT,San Millán/Donemiliaga,7.5
2010,Male,16 years and over,,,,,San Millán/Donemiliaga,PT,San Millán/Donemiliaga,9.3
2018,Male,16 years and over,,,,,San Millán/Donemiliaga,PT,San Millán/Donemiliaga,6.2
2016,Male,16 years and over,,,,,San Millán/Donemiliaga,PT,San Millán/Donemiliaga,6.9
2020,Male,16 years and over,,,,,San Millán/Donemiliaga,PT,San Millán/Donemiliaga,6.3
2021,Male,16 years and over,,,,,San Millán/Donemiliaga,PT,San Millán/Donemiliaga,5.8
2015,Male,16 years and over,,,,,San Millán/Donemiliaga,PT,San Millán/Donemiliaga,11.2
2018,Male,16 years and over,,,,,Santurtzi,PT,Santurtzi,15.0
2010,Male,16 years and over,,,,,Santurtzi,PT,Santurtzi,12.0
2021,Male,16 years and over,,,,,Santurtzi,PT,Santurtzi,13.3
2016,Male,16 years and over,,,,,Santurtzi,PT,Santurtzi,19.7
2020,Male,16 years and over,,,,,Santurtzi,PT,Santurtzi,12.4
2015,Male,16 years and over,,,,,Santurtzi,PT,Santurtzi,20.8
2019,Male,16 years and over,,,,,Santurtzi,PT,Santurtzi,13.7
2018,Male,16 years and over,,,,,Segura,PT,Segura,7.8
2021,Male,16 years and over,,,,,Segura,PT,Segura,6.3
2010,Male,16 years and over,,,,,Segura,PT,Segura,7.6
2020,Male,16 years and over,,,,,Segura,PT,Segura,5.5
2015,Male,16 years and over,,,,,Segura,PT,Segura,9.4
2019,Male,16 years and over,,,,,Segura,PT,Segura,6.2
2016,Male,16 years and over,,,,,Segura,PT,Segura,8.1
2020,Male,16 years and over,,,,,Sestao,PT,Sestao,15.2
2015,Male,16 years and over,,,,,Sestao,PT,Sestao,24.3
2016,Male,16 years and over,,,,,Sestao,PT,Sestao,23.9
2010,Male,16 years and over,,,,,Sestao,PT,Sestao,13.7
2019,Male,16 years and over,,,,,Sestao,PT,Sestao,16.3
2018,Male,16 years and over,,,,,Sestao,PT,Sestao,18.2
2021,Male,16 years and over,,,,,Sestao,PT,Sestao,16.0
2020,Male,16 years and over,,,,,Sondika,PT,Sondika,7.5
2019,Male,16 years and over,,,,,Sondika,PT,Sondika,8.1
2015,Male,16 years and over,,,,,Sondika,PT,Sondika,12.3
2010,Male,16 years and over,,,,,Sondika,PT,Sondika,7.1
2016,Male,16 years and over,,,,,Sondika,PT,Sondika,10.5
2021,Male,16 years and over,,,,,Sondika,PT,Sondika,7.5
2018,Male,16 years and over,,,,,Sondika,PT,Sondika,7.9
2016,Male,16 years and over,,,,,Sopela,PT,Sopela,12.7
2018,Male,16 years and over,,,,,Sopela,PT,Sopela,9.4
2019,Male,16 years and over,,,,,Sopela,PT,Sopela,8.6
2021,Male,16 years and over,,,,,Sopela,PT,Sopela,10.3
2020,Male,16 years and over,,,,,Sopela,PT,Sopela,8.6
2015,Male,16 years and over,,,,,Sopela,PT,Sopela,14.4
2010,Male,16 years and over,,,,,Sopela,PT,Sopela,9.5
2019,Male,16 years and over,,,,,Sopuerta,PT,Sopuerta,9.2
2016,Male,16 years and over,,,,,Sopuerta,PT,Sopuerta,14.3
2021,Male,16 years and over,,,,,Sopuerta,PT,Sopuerta,9.9
2020,Male,16 years and over,,,,,Sopuerta,PT,Sopuerta,7.4
2015,Male,16 years and over,,,,,Sopuerta,PT,Sopuerta,16.4
2018,Male,16 years and over,,,,,Sopuerta,PT,Sopuerta,10.7
2010,Male,16 years and over,,,,,Sopuerta,PT,Sopuerta,9.8
2020,Male,16 years and over,,,,,Soraluze-Placencia de las Armas,PT,Soraluze-Placencia de las Armas,10.5
2010,Male,16 years and over,,,,,Soraluze-Placencia de las Armas,PT,Soraluze-Placencia de las Armas,10.1
2015,Male,16 years and over,,,,,Soraluze-Placencia de las Armas,PT,Soraluze-Placencia de las Armas,17.9
2021,Male,16 years and over,,,,,Soraluze-Placencia de las Armas,PT,Soraluze-Placencia de las Armas,11.7
2019,Male,16 years and over,,,,,Soraluze-Placencia de las Armas,PT,Soraluze-Placencia de las Armas,11.3
2016,Male,16 years and over,,,,,Soraluze-Placencia de las Armas,PT,Soraluze-Placencia de las Armas,16.2
2018,Male,16 years and over,,,,,Soraluze-Placencia de las Armas,PT,Soraluze-Placencia de las Armas,12.5
2021,Male,16 years and over,,,,,Sukarrieta,PT,Sukarrieta,11.0
2015,Male,16 years and over,,,,,Sukarrieta,PT,Sukarrieta,16.3
2016,Male,16 years and over,,,,,Sukarrieta,PT,Sukarrieta,19.6
2010,Male,16 years and over,,,,,Sukarrieta,PT,Sukarrieta,10.7
2019,Male,16 years and over,,,,,Sukarrieta,PT,Sukarrieta,12.3
2018,Male,16 years and over,,,,,Sukarrieta,PT,Sukarrieta,14.9
2020,Male,16 years and over,,,,,Sukarrieta,PT,Sukarrieta,11.8
2010,Male,16 years and over,,,,,Tolosa,PT,Tolosa,7.6
2016,Male,16 years and over,,,,,Tolosa,PT,Tolosa,11.5
2020,Male,16 years and over,,,,,Tolosa,PT,Tolosa,6.2
2018,Male,16 years and over,,,,,Tolosa,PT,Tolosa,8.2
2021,Male,16 years and over,,,,,Tolosa,PT,Tolosa,7.0
2019,Male,16 years and over,,,,,Tolosa,PT,Tolosa,6.6
2015,Male,16 years and over,,,,,Tolosa,PT,Tolosa,13.6
2010,Male,16 years and over,,,,,Trucios-Turtzioz,PT,Trucios-Turtzioz,13.3
2021,Male,16 years and over,,,,,Trucios-Turtzioz,PT,Trucios-Turtzioz,14.2
2020,Male,16 years and over,,,,,Trucios-Turtzioz,PT,Trucios-Turtzioz,10.9
2018,Male,16 years and over,,,,,Trucios-Turtzioz,PT,Trucios-Turtzioz,19.7
2016,Male,16 years and over,,,,,Trucios-Turtzioz,PT,Trucios-Turtzioz,18.4
2019,Male,16 years and over,,,,,Trucios-Turtzioz,PT,Trucios-Turtzioz,14.1
2015,Male,16 years and over,,,,,Trucios-Turtzioz,PT,Trucios-Turtzioz,18.4
2016,Male,16 years and over,,,,,Ubide,PT,Ubide,9.8
2021,Male,16 years and over,,,,,Ubide,PT,Ubide,13.0
2020,Male,16 years and over,,,,,Ubide,PT,Ubide,6.5
2015,Male,16 years and over,,,,,Ubide,PT,Ubide,7.4
2019,Male,16 years and over,,,,,Ubide,PT,Ubide,13.0
2018,Male,16 years and over,,,,,Ubide,PT,Ubide,9.1
2010,Male,16 years and over,,,,,Ubide,PT,Ubide,3.9
2015,Male,16 years and over,,,,,Ugao-Miraballes,PT,Ugao-Miraballes,16.6
2019,Male,16 years and over,,,,,Ugao-Miraballes,PT,Ugao-Miraballes,9.8
2021,Male,16 years and over,,,,,Ugao-Miraballes,PT,Ugao-Miraballes,10.3
2010,Male,16 years and over,,,,,Ugao-Miraballes,PT,Ugao-Miraballes,7.1
2020,Male,16 years and over,,,,,Ugao-Miraballes,PT,Ugao-Miraballes,8.5
2018,Male,16 years and over,,,,,Ugao-Miraballes,PT,Ugao-Miraballes,11.0
2016,Male,16 years and over,,,,,Ugao-Miraballes,PT,Ugao-Miraballes,17.1
2020,Male,16 years and over,,,,,Urduliz,PT,Urduliz,9.8
2010,Male,16 years and over,,,,,Urduliz,PT,Urduliz,9.0
2021,Male,16 years and over,,,,,Urduliz,PT,Urduliz,10.5
2016,Male,16 years and over,,,,,Urduliz,PT,Urduliz,11.6
2015,Male,16 years and over,,,,,Urduliz,PT,Urduliz,14.2
2018,Male,16 years and over,,,,,Urduliz,PT,Urduliz,8.6
2019,Male,16 years and over,,,,,Urduliz,PT,Urduliz,9.5
2010,Male,16 years and over,,,,,Urduña/Orduña,PT,Urduña/Orduña,12.1
2019,Male,16 years and over,,,,,Urduña/Orduña,PT,Urduña/Orduña,14.3
2018,Male,16 years and over,,,,,Urduña/Orduña,PT,Urduña/Orduña,11.7
2021,Male,16 years and over,,,,,Urduña/Orduña,PT,Urduña/Orduña,12.8
2020,Male,16 years and over,,,,,Urduña/Orduña,PT,Urduña/Orduña,12.5
2016,Male,16 years and over,,,,,Urduña/Orduña,PT,Urduña/Orduña,16.8
2015,Male,16 years and over,,,,,Urduña/Orduña,PT,Urduña/Orduña,19.1
2018,Male,16 years and over,,,,,Urkabustaiz,PT,Urkabustaiz,9.1
2016,Male,16 years and over,,,,,Urkabustaiz,PT,Urkabustaiz,10.9
2020,Male,16 years and over,,,,,Urkabustaiz,PT,Urkabustaiz,8.4
2019,Male,16 years and over,,,,,Urkabustaiz,PT,Urkabustaiz,9.0
2010,Male,16 years and over,,,,,Urkabustaiz,PT,Urkabustaiz,7.3
2021,Male,16 years and over,,,,,Urkabustaiz,PT,Urkabustaiz,11.0
2015,Male,16 years and over,,,,,Urkabustaiz,PT,Urkabustaiz,14.1
2015,Male,16 years and over,,,,,Urnieta,PT,Urnieta,10.0
2020,Male,16 years and over,,,,,Urnieta,PT,Urnieta,5.5
2016,Male,16 years and over,,,,,Urnieta,PT,Urnieta,9.6
2021,Male,16 years and over,,,,,Urnieta,PT,Urnieta,7.0
2019,Male,16 years and over,,,,,Urnieta,PT,Urnieta,5.5
2018,Male,16 years and over,,,,,Urnieta,PT,Urnieta,6.3
2010,Male,16 years and over,,,,,Urnieta,PT,Urnieta,6.9
2015,Male,16 years and over,,,,,Urretxu,PT,Urretxu,11.6
2018,Male,16 years and over,,,,,Urretxu,PT,Urretxu,7.5
2010,Male,16 years and over,,,,,Urretxu,PT,Urretxu,5.5
2020,Male,16 years and over,,,,,Urretxu,PT,Urretxu,6.3
2019,Male,16 years and over,,,,,Urretxu,PT,Urretxu,6.3
2016,Male,16 years and over,,,,,Urretxu,PT,Urretxu,8.3
2021,Male,16 years and over,,,,,Urretxu,PT,Urretxu,7.3
2015,Male,16 years and over,,,,,Usurbil,PT,Usurbil,12.4
2019,Male,16 years and over,,,,,Usurbil,PT,Usurbil,6.7
2020,Male,16 years and over,,,,,Usurbil,PT,Usurbil,5.9
2010,Male,16 years and over,,,,,Usurbil,PT,Usurbil,8.0
2021,Male,16 years and over,,,,,Usurbil,PT,Usurbil,6.9
2018,Male,16 years and over,,,,,Usurbil,PT,Usurbil,7.3
2016,Male,16 years and over,,,,,Usurbil,PT,Usurbil,9.7
2015,Male,16 years and over,,,,,Valdegovía/Gaubea,PT,Valdegovía/Gaubea,16.2
2021,Male,16 years and over,,,,,Valdegovía/Gaubea,PT,Valdegovía/Gaubea,14.1
2016,Male,16 years and over,,,,,Valdegovía/Gaubea,PT,Valdegovía/Gaubea,14.6
2020,Male,16 years and over,,,,,Valdegovía/Gaubea,PT,Valdegovía/Gaubea,12.2
2019,Male,16 years and over,,,,,Valdegovía/Gaubea,PT,Valdegovía/Gaubea,6.9
2018,Male,16 years and over,,,,,Valdegovía/Gaubea,PT,Valdegovía/Gaubea,9.6
2010,Male,16 years and over,,,,,Valdegovía/Gaubea,PT,Valdegovía/Gaubea,9.8
2015,Male,16 years and over,,,,,Valle de Trápaga-Trapagaran,PT,Valle de Trápaga-Trapagaran,17.6
2016,Male,16 years and over,,,,,Valle de Trápaga-Trapagaran,PT,Valle de Trápaga-Trapagaran,16.4
2020,Male,16 years and over,,,,,Valle de Trápaga-Trapagaran,PT,Valle de Trápaga-Trapagaran,10.0
2021,Male,16 years and over,,,,,Valle de Trápaga-Trapagaran,PT,Valle de Trápaga-Trapagaran,11.7
2019,Male,16 years and over,,,,,Valle de Trápaga-Trapagaran,PT,Valle de Trápaga-Trapagaran,11.4
2018,Male,16 years and over,,,,,Valle de Trápaga-Trapagaran,PT,Valle de Trápaga-Trapagaran,12.5
2010,Male,16 years and over,,,,,Valle de Trápaga-Trapagaran,PT,Valle de Trápaga-Trapagaran,10.0
2010,Male,16 years and over,,,,,Villabona,PT,Villabona,9.0
2018,Male,16 years and over,,,,,Villabona,PT,Villabona,9.2
2020,Male,16 years and over,,,,,Villabona,PT,Villabona,7.1
2016,Male,16 years and over,,,,,Villabona,PT,Villabona,12.5
2021,Male,16 years and over,,,,,Villabona,PT,Villabona,8.6
2019,Male,16 years and over,,,,,Villabona,PT,Villabona,6.1
2015,Male,16 years and over,,,,,Villabona,PT,Villabona,15.4
2016,Male,16 years and over,,,,,Villabuena de Álava/Eskuernaga,PT,Villabuena de Álava/Eskuernaga,7.3
2020,Male,16 years and over,,,,,Villabuena de Álava/Eskuernaga,PT,Villabuena de Álava/Eskuernaga,4.9
2010,Male,16 years and over,,,,,Villabuena de Álava/Eskuernaga,PT,Villabuena de Álava/Eskuernaga,6.0
2015,Male,16 years and over,,,,,Villabuena de Álava/Eskuernaga,PT,Villabuena de Álava/Eskuernaga,9.8
2021,Male,16 years and over,,,,,Villabuena de Álava/Eskuernaga,PT,Villabuena de Álava/Eskuernaga,8.3
2018,Male,16 years and over,,,,,Villabuena de Álava/Eskuernaga,PT,Villabuena de Álava/Eskuernaga,2.5
2019,Male,16 years and over,,,,,Villabuena de Álava/Eskuernaga,PT,Villabuena de Álava/Eskuernaga,3.6
2010,Male,16 years and over,,,,,Vitoria-Gasteiz,PT,Vitoria-Gasteiz,10.9
2021,Male,16 years and over,,,,,Vitoria-Gasteiz,PT,Vitoria-Gasteiz,10.9
2015,Male,16 years and over,,,,,Vitoria-Gasteiz,PT,Vitoria-Gasteiz,16.6
2019,Male,16 years and over,,,,,Vitoria-Gasteiz,PT,Vitoria-Gasteiz,9.7
2016,Male,16 years and over,,,,,Vitoria-Gasteiz,PT,Vitoria-Gasteiz,14.0
2018,Male,16 years and over,,,,,Vitoria-Gasteiz,PT,Vitoria-Gasteiz,10.2
2020,Male,16 years and over,,,,,Vitoria-Gasteiz,PT,Vitoria-Gasteiz,9.2
2021,Male,16 years and over,,,,,Yécora/Iekora,PT,Yécora/Iekora,12.5
2010,Male,16 years and over,,,,,Yécora/Iekora,PT,Yécora/Iekora,11.8
2020,Male,16 years and over,,,,,Yécora/Iekora,PT,Yécora/Iekora,9.5
2018,Male,16 years and over,,,,,Yécora/Iekora,PT,Yécora/Iekora,6.0
2016,Male,16 years and over,,,,,Yécora/Iekora,PT,Yécora/Iekora,18.7
2015,Male,16 years and over,,,,,Yécora/Iekora,PT,Yécora/Iekora,15.6
2019,Male,16 years and over,,,,,Yécora/Iekora,PT,Yécora/Iekora,8.2
