Year,Sex,Age,Residence,People with and without disabilities,Province,County,Municipality,Units,GeoCode,Value
2019,,16 years and over,,,,,Astigarraga,PT,Astigarraga,6.8
2010,,16 years and over,,,,,Astigarraga,PT,Astigarraga,6.6
2016,,16 years and over,,,,,Ataun,PT,Ataun,9.4
2021,,16 years and over,,,,,Ataun,PT,Ataun,6.9
2018,,16 years and over,,,,,Ataun,PT,Ataun,6.6
2019,,16 years and over,,,,,Ataun,PT,Ataun,6.8
2020,,16 years and over,,,,,Ataun,PT,Ataun,7.0
2010,,16 years and over,,,,,Ataun,PT,Ataun,5.2
2015,,16 years and over,,,,,Ataun,PT,Ataun,8.8
2016,,16 years and over,,,,,Atxondo,PT,Atxondo,11.1
2019,,16 years and over,,,,,Atxondo,PT,Atxondo,7.1
2020,,16 years and over,,,,,Atxondo,PT,Atxondo,8.7
2010,,16 years and over,,,,,Atxondo,PT,Atxondo,9.0
2018,,16 years and over,,,,,Atxondo,PT,Atxondo,8.6
2021,,16 years and over,,,,,Atxondo,PT,Atxondo,9.2
2015,,16 years and over,,,,,Atxondo,PT,Atxondo,14.5
2019,,16 years and over,,,,,Aulesti,PT,Aulesti,6.1
2020,,16 years and over,,,,,Aulesti,PT,Aulesti,6.3
2018,,16 years and over,,,,,Aulesti,PT,Aulesti,6.7
2015,,16 years and over,,,,,Aulesti,PT,Aulesti,10.7
2016,,16 years and over,,,,,Aulesti,PT,Aulesti,7.1
2021,,16 years and over,,,,,Aulesti,PT,Aulesti,7.2
2010,,16 years and over,,,,,Aulesti,PT,Aulesti,8.7
2021,,16 years and over,,,,,Ayala/Aiara,PT,Ayala/Aiara,9.6
2019,,16 years and over,,,,,Ayala/Aiara,PT,Ayala/Aiara,8.3
2010,,16 years and over,,,,,Ayala/Aiara,PT,Ayala/Aiara,7.8
2015,,16 years and over,,,,,Ayala/Aiara,PT,Ayala/Aiara,11.8
