Year,Sexo,Territorio,Comarca,Municipio,Units,GeoCode,Value
2012,,,,ES01002,PER_100000_POP,ES01002,0.0
2021,,,,ES01002,PER_100000_POP,ES01002,0.0
2018,,,,ES01002,PER_100000_POP,ES01002,0.0
2019,,,,ES01002,PER_100000_POP,ES01002,0.0
2014,,,,ES01002,PER_100000_POP,ES01002,0.0
2023,,,,ES01002,PER_100000_POP,ES01002,0.0
2010,,,,ES01002,PER_100000_POP,ES01002,0.0
2022,,,,ES01002,PER_100000_POP,ES01002,0.0
2018,,,,ES20009,PER_100000_POP,ES20009,0.0
2014,,,,ES20009,PER_100000_POP,ES20009,0.0
2022,,,,ES20009,PER_100000_POP,ES20009,0.0
2010,,,,ES20009,PER_100000_POP,ES20009,0.0
2013,,,,ES20009,PER_100000_POP,ES20009,0.0
2015,,,,ES20009,PER_100000_POP,ES20009,0.0
2023,,,,ES20009,PER_100000_POP,ES20009,0.0
2016,,,,ES20009,PER_100000_POP,ES20009,0.0
2021,,,,ES20009,PER_100000_POP,ES20009,0.0
2019,,,,ES20009,PER_100000_POP,ES20009,0.0
2017,,,,ES20009,PER_100000_POP,ES20009,0.0
2020,,,,ES20009,PER_100000_POP,ES20009,0.0
2012,,,,ES20009,PER_100000_POP,ES20009,0.0
2011,,,,ES20009,PER_100000_POP,ES20009,0.0
2020,,,,ES20010,PER_100000_POP,ES20010,0.0
2016,,,,ES20010,PER_100000_POP,ES20010,0.0
2018,,,,ES20010,PER_100000_POP,ES20010,0.0
2013,,,,ES20010,PER_100000_POP,ES20010,0.0
2022,,,,ES20010,PER_100000_POP,ES20010,0.0
2023,,,,ES20010,PER_100000_POP,ES20010,0.0
2010,,,,ES20010,PER_100000_POP,ES20010,0.0
2014,,,,ES20010,PER_100000_POP,ES20010,0.0
2015,,,,ES20010,PER_100000_POP,ES20010,0.0
2011,,,,ES20010,PER_100000_POP,ES20010,0.0
2021,,,,ES20010,PER_100000_POP,ES20010,0.0
2017,,,,ES20010,PER_100000_POP,ES20010,0.0
2019,,,,ES20010,PER_100000_POP,ES20010,0.0
2012,,,,ES20010,PER_100000_POP,ES20010,0.0
2010,,,,ES20011,PER_100000_POP,ES20011,0.0
2022,,,,ES20011,PER_100000_POP,ES20011,0.0
