Year,Sexo,Edad,Residencia,Discapacidad,Territorio,Comarca,Municipio,Units,GeoCode,Value
2021,,Y_GE16,,,,ES0102,,PT,ES0102,12.0
2018,,Y_GE16,,,,ES0102,,PT,ES0102,11.8
2018,,Y_GE16,,,,ES0103,,PT,ES0103,9.0
2010,,Y_GE16,,,,ES0103,,PT,ES0103,7.7
2021,,Y_GE16,,,,ES0103,,PT,ES0103,8.5
2019,,Y_GE16,,,,ES0103,,PT,ES0103,7.0
2020,,Y_GE16,,,,ES0103,,PT,ES0103,7.0
2015,,Y_GE16,,,,ES0103,,PT,ES0103,10.5
2016,,Y_GE16,,,,ES0103,,PT,ES0103,10.4
2021,,Y_GE16,,,,ES4801,,PT,ES4801,10.8
2010,,Y_GE16,,,,ES4801,,PT,ES4801,8.1
2016,,Y_GE16,,,,ES4801,,PT,ES4801,14.3
2018,,Y_GE16,,,,ES4801,,PT,ES4801,11.1
2019,,Y_GE16,,,,ES4801,,PT,ES4801,10.1
2015,,Y_GE16,,,,ES4801,,PT,ES4801,14.6
2020,,Y_GE16,,,,ES4801,,PT,ES4801,9.5
2019,,Y_GE16,,,,ES2001,,PT,ES2001,10.8
2020,,Y_GE16,,,,ES2001,,PT,ES2001,10.7
2010,,Y_GE16,,,,ES2001,,PT,ES2001,10.5
2021,,Y_GE16,,,,ES2001,,PT,ES2001,11.8
2018,,Y_GE16,,,,ES2001,,PT,ES2001,11.9
2016,,Y_GE16,,,,ES2001,,PT,ES2001,16.3
2015,,Y_GE16,,,,ES2001,,PT,ES2001,17.3
2016,,Y_GE16,,,,ES4802,,PT,ES4802,17.7
2020,,Y_GE16,,,,ES4802,,PT,ES4802,11.6
2018,,Y_GE16,,,,ES4802,,PT,ES4802,13.7
2010,,Y_GE16,,,,ES4802,,PT,ES4802,10.6
2015,,Y_GE16,,,,ES4802,,PT,ES4802,17.9
2021,,Y_GE16,,,,ES4802,,PT,ES4802,12.9
2019,,Y_GE16,,,,ES4802,,PT,ES4802,12.4
2019,,Y_GE16,,,,ES2002,,PT,ES2002,10.4
2021,,Y_GE16,,,,ES2002,,PT,ES2002,10.7
2018,,Y_GE16,,,,ES2002,,PT,ES2002,11.4
2016,,Y_GE16,,,,ES2002,,PT,ES2002,14.8
2010,,Y_GE16,,,,ES2002,,PT,ES2002,8.7
2020,,Y_GE16,,,,ES2002,,PT,ES2002,10.1
2015,,Y_GE16,,,,ES2002,,PT,ES2002,15.3
2015,,Y_GE16,,,,ES2003,,PT,ES2003,13.0
2020,,Y_GE16,,,,ES2003,,PT,ES2003,7.5
2019,,Y_GE16,,,,ES2003,,PT,ES2003,8.1
2016,,Y_GE16,,,,ES2003,,PT,ES2003,11.8
2021,,Y_GE16,,,,ES2003,,PT,ES2003,8.4
2010,,Y_GE16,,,,ES2003,,PT,ES2003,7.8
2018,,Y_GE16,,,,ES2003,,PT,ES2003,8.2
2018,,Y_GE16,,,,ES2004,,PT,ES2004,9.7
2020,,Y_GE16,,,,ES2004,,PT,ES2004,8.2
2019,,Y_GE16,,,,ES2004,,PT,ES2004,8.7
2015,,Y_GE16,,,,ES2004,,PT,ES2004,14.1
2021,,Y_GE16,,,,ES2004,,PT,ES2004,9.5
2016,,Y_GE16,,,,ES2004,,PT,ES2004,12.9
2010,,Y_GE16,,,,ES2004,,PT,ES2004,8.8
2016,,Y_GE16,,,,ES4803,,PT,ES4803,13.3
2021,,Y_GE16,,,,ES4803,,PT,ES4803,10.1
2015,,Y_GE16,,,,ES4803,,PT,ES4803,15.0
2010,,Y_GE16,,,,ES4803,,PT,ES4803,9.5
2019,,Y_GE16,,,,ES4803,,PT,ES4803,9.3
2018,,Y_GE16,,,,ES4803,,PT,ES4803,10.0
2020,,Y_GE16,,,,ES4803,,PT,ES4803,9.0
2018,,Y_GE16,,,,ES4804,,PT,ES4804,15.1
2015,,Y_GE16,,,,ES4804,,PT,ES4804,19.1
2016,,Y_GE16,,,,ES4804,,PT,ES4804,19.6
2020,,Y_GE16,,,,ES4804,,PT,ES4804,12.4
2019,,Y_GE16,,,,ES4804,,PT,ES4804,13.8
2021,,Y_GE16,,,,ES4804,,PT,ES4804,13.1
2010,,Y_GE16,,,,ES4804,,PT,ES4804,9.9
2020,,Y_GE16,,,,ES4805,,PT,ES4805,11.0
2016,,Y_GE16,,,,ES4805,,PT,ES4805,15.5
2018,,Y_GE16,,,,ES4805,,PT,ES4805,11.8
2019,,Y_GE16,,,,ES4805,,PT,ES4805,11.2
2010,,Y_GE16,,,,ES4805,,PT,ES4805,9.8
2021,,Y_GE16,,,,ES4805,,PT,ES4805,11.6
2015,,Y_GE16,,,,ES4805,,PT,ES4805,17.0
2015,,Y_GE16,,,,ES2005,,PT,ES2005,13.1
2016,,Y_GE16,,,,ES2005,,PT,ES2005,11.6
2020,,Y_GE16,,,,ES2005,,PT,ES2005,7.7
2018,,Y_GE16,,,,ES2005,,PT,ES2005,8.9
2010,,Y_GE16,,,,ES2005,,PT,ES2005,8.5
2021,,Y_GE16,,,,ES2005,,PT,ES2005,8.7
2019,,Y_GE16,,,,ES2005,,PT,ES2005,7.9
2010,,Y_GE16,,,,ES0105,,PT,ES0105,6.5
2018,,Y_GE16,,,,ES0105,,PT,ES0105,6.3
2021,,Y_GE16,,,,ES0105,,PT,ES0105,8.3
2016,,Y_GE16,,,,ES0105,,PT,ES0105,10.1
2020,,Y_GE16,,,,ES0105,,PT,ES0105,6.6
2015,,Y_GE16,,,,ES0105,,PT,ES0105,11.3
2019,,Y_GE16,,,,ES0105,,PT,ES0105,7.0
2018,,Y_GE16,,,,ES4806,,PT,ES4806,10.6
2015,,Y_GE16,,,,ES4806,,PT,ES4806,16.5
2019,,Y_GE16,,,,ES4806,,PT,ES4806,10.5
2010,,Y_GE16,,,,ES4806,,PT,ES4806,10.5
2021,,Y_GE16,,,,ES4806,,PT,ES4806,11.1
2016,,Y_GE16,,,,ES4806,,PT,ES4806,14.1
2020,,Y_GE16,,,,ES4806,,PT,ES4806,9.9
2019,,Y_GE16,,,,ES4807,,PT,ES4807,9.5
2021,,Y_GE16,,,,ES4807,,PT,ES4807,10.3
2018,,Y_GE16,,,,ES4807,,PT,ES4807,10.3
2015,,Y_GE16,,,,ES4807,,PT,ES4807,14.6
2010,,Y_GE16,,,,ES4807,,PT,ES4807,9.1
2016,,Y_GE16,,,,ES4807,,PT,ES4807,13.6
2020,,Y_GE16,,,,ES4807,,PT,ES4807,8.9
2021,,Y_GE16,,,,ES2006,,PT,ES2006,8.5
2018,,Y_GE16,,,,ES2006,,PT,ES2006,9.6
2019,,Y_GE16,,,,ES2006,,PT,ES2006,8.1
2015,,Y_GE16,,,,ES2006,,PT,ES2006,13.3
2016,,Y_GE16,,,,ES2006,,PT,ES2006,12.4
2020,,Y_GE16,,,,ES2006,,PT,ES2006,7.5
2010,,Y_GE16,,,,ES2006,,PT,ES2006,8.0
2016,,Y_GE16,,,,ES2007,,PT,ES2007,13.3
2020,,Y_GE16,,,,ES2007,,PT,ES2007,8.0
2021,,Y_GE16,,,,ES2007,,PT,ES2007,8.8
2015,,Y_GE16,,,,ES2007,,PT,ES2007,14.5
2010,,Y_GE16,,,,ES2007,,PT,ES2007,8.8
2018,,Y_GE16,,,,ES2007,,PT,ES2007,9.2
2019,,Y_GE16,,,,ES2007,,PT,ES2007,8.3
2021,,Y_GE16,,,ES211,,,PT,ES211,10.6
2017,,Y_GE16,,,ES211,,,PT,ES211,11.9
2013,,Y_GE16,,,ES211,,,PT,ES211,15.1
2011,,Y_GE16,,,ES211,,,PT,ES211,7.8
2010,,Y_GE16,,,ES211,,,PT,ES211,10.0
2016,,Y_GE16,,,ES211,,,PT,ES211,14.1
2019,,Y_GE16,,,ES211,,,PT,ES211,10.8
2022,,Y_GE16,,,ES211,,,PT,ES211,9.5
2014,,Y_GE16,,,ES211,,,PT,ES211,17.1
2012,,Y_GE16,,,ES211,,,PT,ES211,9.4
2015,,Y_GE16,,,ES211,,,PT,ES211,16.3
2023,,Y_GE16,,,ES211,,,PT,ES211,7.9
2018,,Y_GE16,,,ES211,,,PT,ES211,11.2
2020,,Y_GE16,,,ES211,,,PT,ES211,11.1
2011,,Y_GE16,,,ES213,,,PT,ES213,13.2
2017,,Y_GE16,,,ES213,,,PT,ES213,12.9
2012,,Y_GE16,,,ES213,,,PT,ES213,14.2
2021,,Y_GE16,,,ES213,,,PT,ES213,11.2
2020,,Y_GE16,,,ES213,,,PT,ES213,11.9
2018,,Y_GE16,,,ES213,,,PT,ES213,11.9
2010,,Y_GE16,,,ES213,,,PT,ES213,10.0
2013,,Y_GE16,,,ES213,,,PT,ES213,16.7
2014,,Y_GE16,,,ES213,,,PT,ES213,17.2
2022,,Y_GE16,,,ES213,,,PT,ES213,9.3
2015,,Y_GE16,,,ES213,,,PT,ES213,17.0
2019,,Y_GE16,,,ES213,,,PT,ES213,11.1
2023,,Y_GE16,,,ES213,,,PT,ES213,8.7
2016,,Y_GE16,,,ES213,,,PT,ES213,15.3
2013,,Y_GE16,,,ES212,,,PT,ES212,12.5
2015,,Y_GE16,,,ES212,,,PT,ES212,13.3
2010,,Y_GE16,,,ES212,,,PT,ES212,7.4
