Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2023,EU_CPA_PTP,,,ES01002,PT,ES01002,100.0
2010,EU_CPA_PTP,,,ES01002,PT,ES01002,100.0
2024,EU_CPA_PTP,,,ES01002,PT,ES01002,100.0
2022,EU_CPA_PTP,,,ES01002,PT,ES01002,100.0
2018,EU_CPA_PTP,,,ES01002,PT,ES01002,100.0
2013,EU_CPA_PTP,,,ES01002,PT,ES01002,100.0
2014,EU_CPA_PTP,,,ES01002,PT,ES01002,100.0
2021,EU_CPA_PTP,,,ES01002,PT,ES01002,100.0
2015,EU_CPA_PTP,,,ES01002,PT,ES01002,100.0
2020,EU_CPA_PTP,,,ES01002,PT,ES01002,100.0
2016,EU_CPA_PTP,,,ES01002,PT,ES01002,100.0
2012,EU_CPA_PTP,,,ES01002,PT,ES01002,100.0
2011,EU_CPA_PTP,,,ES01002,PT,ES01002,100.0
2019,EU_CPA_PTP,,,ES01002,PT,ES01002,100.0
2019,EU_CPA_PTP,,,ES20009,PT,ES20009,100.0
2021,EU_CPA_PTP,,,ES20009,PT,ES20009,100.0
2014,EU_CPA_PTP,,,ES20009,PT,ES20009,0.0
2013,EU_CPA_PTP,,,ES20009,PT,ES20009,0.0
2023,EU_CPA_PTP,,,ES20009,PT,ES20009,100.0
2015,EU_CPA_PTP,,,ES20009,PT,ES20009,0.0
2020,EU_CPA_PTP,,,ES20009,PT,ES20009,100.0
2022,EU_CPA_PTP,,,ES20009,PT,ES20009,100.0
2018,EU_CPA_PTP,,,ES20009,PT,ES20009,100.0
2012,EU_CPA_PTP,,,ES20009,PT,ES20009,0.0
2011,EU_CPA_PTP,,,ES20009,PT,ES20009,0.0
2016,EU_CPA_PTP,,,ES20009,PT,ES20009,0.0
2024,EU_CPA_PTP,,,ES20009,PT,ES20009,100.0
2010,EU_CPA_PTP,,,ES20009,PT,ES20009,0.0
2017,EU_CPA_PTP,,,ES20009,PT,ES20009,100.0
2016,EU_CPA_PTP,,,ES20010,PT,ES20010,0.0
2010,EU_CPA_PTP,,,ES20010,PT,ES20010,0.0
2012,EU_CPA_PTP,,,ES20010,PT,ES20010,0.0
2024,EU_CPA_PTP,,,ES20010,PT,ES20010,100.0
2020,EU_CPA_PTP,,,ES20010,PT,ES20010,0.0
2013,EU_CPA_PTP,,,ES20010,PT,ES20010,0.0
2022,EU_CPA_PTP,,,ES20010,PT,ES20010,100.0
2017,EU_CPA_PTP,,,ES20010,PT,ES20010,0.0
2018,EU_CPA_PTP,,,ES20010,PT,ES20010,0.0
2023,EU_CPA_PTP,,,ES20010,PT,ES20010,100.0
2014,EU_CPA_PTP,,,ES20010,PT,ES20010,0.0
2015,EU_CPA_PTP,,,ES20010,PT,ES20010,0.0
2019,EU_CPA_PTP,,,ES20010,PT,ES20010,0.0
2021,EU_CPA_PTP,,,ES20010,PT,ES20010,100.0
2011,EU_CPA_PTP,,,ES20010,PT,ES20010,0.0
2022,EU_CPA_PTP,,,ES20011,PT,ES20011,100.0
2017,EU_CPA_PTP,,,ES20011,PT,ES20011,100.0
2010,EU_CPA_PTP,,,ES20011,PT,ES20011,100.0
2013,EU_CPA_PTP,,,ES20011,PT,ES20011,100.0
2020,EU_CPA_PTP,,,ES20011,PT,ES20011,100.0
2021,EU_CPA_PTP,,,ES20011,PT,ES20011,100.0
2014,EU_CPA_PTP,,,ES20011,PT,ES20011,100.0
2011,EU_CPA_PTP,,,ES20011,PT,ES20011,100.0
2024,EU_CPA_PTP,,,ES20011,PT,ES20011,100.0
2016,EU_CPA_PTP,,,ES20011,PT,ES20011,100.0
2012,EU_CPA_PTP,,,ES20011,PT,ES20011,100.0
2015,EU_CPA_PTP,,,ES20011,PT,ES20011,100.0
2019,EU_CPA_PTP,,,ES20011,PT,ES20011,100.0
2018,EU_CPA_PTP,,,ES20011,PT,ES20011,100.0
2023,EU_CPA_PTP,,,ES20011,PT,ES20011,100.0
2022,EU_CPA_PTP,,,ES01049,PT,ES01049,100.0
2021,EU_CPA_PTP,,,ES01049,PT,ES01049,100.0
2016,EU_CPA_PTP,,,ES01049,PT,ES01049,100.0
2013,EU_CPA_PTP,,,ES01049,PT,ES01049,100.0
2014,EU_CPA_PTP,,,ES01049,PT,ES01049,100.0
2024,EU_CPA_PTP,,,ES01049,PT,ES01049,100.0
2010,EU_CPA_PTP,,,ES01049,PT,ES01049,100.0
2020,EU_CPA_PTP,,,ES01049,PT,ES01049,100.0
2012,EU_CPA_PTP,,,ES01049,PT,ES01049,100.0
2011,EU_CPA_PTP,,,ES01049,PT,ES01049,100.0
2015,EU_CPA_PTP,,,ES01049,PT,ES01049,100.0
2017,EU_CPA_PTP,,,ES01049,PT,ES01049,100.0
2019,EU_CPA_PTP,,,ES01049,PT,ES01049,100.0
2018,EU_CPA_PTP,,,ES01049,PT,ES01049,100.0
2023,EU_CPA_PTP,,,ES01049,PT,ES01049,100.0
2022,EU_CPA_PTP,,,ES48005,PT,ES48005,100.0
2023,EU_CPA_PTP,,,ES48005,PT,ES48005,100.0
2014,EU_CPA_PTP,,,ES48005,PT,ES48005,100.0
2011,EU_CPA_PTP,,,ES48005,PT,ES48005,100.0
2016,EU_CPA_PTP,,,ES48005,PT,ES48005,100.0
2017,EU_CPA_PTP,,,ES48005,PT,ES48005,100.0
2020,EU_CPA_PTP,,,ES48005,PT,ES48005,100.0
2018,EU_CPA_PTP,,,ES48005,PT,ES48005,100.0
2013,EU_CPA_PTP,,,ES48005,PT,ES48005,100.0
2010,EU_CPA_PTP,,,ES48005,PT,ES48005,100.0
2021,EU_CPA_PTP,,,ES48005,PT,ES48005,100.0
2015,EU_CPA_PTP,,,ES48005,PT,ES48005,100.0
2019,EU_CPA_PTP,,,ES48005,PT,ES48005,100.0
2012,EU_CPA_PTP,,,ES48005,PT,ES48005,100.0
2024,EU_CPA_PTP,,,ES48005,PT,ES48005,100.0
2018,EU_CPA_PTP,,,ES20012,PT,ES20012,100.0
2021,EU_CPA_PTP,,,ES20012,PT,ES20012,100.0
2010,EU_CPA_PTP,,,ES20012,PT,ES20012,100.0
2016,EU_CPA_PTP,,,ES20012,PT,ES20012,100.0
2024,EU_CPA_PTP,,,ES20012,PT,ES20012,100.0
2022,EU_CPA_PTP,,,ES20012,PT,ES20012,100.0
2023,EU_CPA_PTP,,,ES20012,PT,ES20012,100.0
2013,EU_CPA_PTP,,,ES20012,PT,ES20012,100.0
2020,EU_CPA_PTP,,,ES20012,PT,ES20012,100.0
2012,EU_CPA_PTP,,,ES20012,PT,ES20012,100.0
2014,EU_CPA_PTP,,,ES20012,PT,ES20012,100.0
2019,EU_CPA_PTP,,,ES20012,PT,ES20012,100.0
2015,EU_CPA_PTP,,,ES20012,PT,ES20012,100.0
2017,EU_CPA_PTP,,,ES20012,PT,ES20012,100.0
2011,EU_CPA_PTP,,,ES20012,PT,ES20012,100.0
2019,EU_CPA_PTP,,,ES01003,PT,ES01003,100.0
2022,EU_CPA_PTP,,,ES01003,PT,ES01003,100.0
2014,EU_CPA_PTP,,,ES01003,PT,ES01003,100.0
2018,EU_CPA_PTP,,,ES01003,PT,ES01003,100.0
2016,EU_CPA_PTP,,,ES01003,PT,ES01003,100.0
2020,EU_CPA_PTP,,,ES01003,PT,ES01003,100.0
2011,EU_CPA_PTP,,,ES01003,PT,ES01003,100.0
2012,EU_CPA_PTP,,,ES01003,PT,ES01003,100.0
2021,EU_CPA_PTP,,,ES01003,PT,ES01003,100.0
2013,EU_CPA_PTP,,,ES01003,PT,ES01003,100.0
2024,EU_CPA_PTP,,,ES01003,PT,ES01003,100.0
2017,EU_CPA_PTP,,,ES01003,PT,ES01003,100.0
2023,EU_CPA_PTP,,,ES01003,PT,ES01003,100.0
2015,EU_CPA_PTP,,,ES01003,PT,ES01003,100.0
2010,EU_CPA_PTP,,,ES01003,PT,ES01003,100.0
2010,EU_CPA_PTP,,,ES48006,PT,ES48006,100.0
2014,EU_CPA_PTP,,,ES48006,PT,ES48006,100.0
2016,EU_CPA_PTP,,,ES48006,PT,ES48006,100.0
2024,EU_CPA_PTP,,,ES48006,PT,ES48006,100.0
2019,EU_CPA_PTP,,,ES48006,PT,ES48006,100.0
2017,EU_CPA_PTP,,,ES48006,PT,ES48006,100.0
2015,EU_CPA_PTP,,,ES48006,PT,ES48006,100.0
2018,EU_CPA_PTP,,,ES48006,PT,ES48006,100.0
2012,EU_CPA_PTP,,,ES48006,PT,ES48006,100.0
2011,EU_CPA_PTP,,,ES48006,PT,ES48006,100.0
2013,EU_CPA_PTP,,,ES48006,PT,ES48006,100.0
2023,EU_CPA_PTP,,,ES48006,PT,ES48006,100.0
2022,EU_CPA_PTP,,,ES48006,PT,ES48006,100.0
2020,EU_CPA_PTP,,,ES48006,PT,ES48006,100.0
2021,EU_CPA_PTP,,,ES48006,PT,ES48006,100.0
2014,EU_CPA_PTP,,,ES48093,PT,ES48093,100.0
2010,EU_CPA_PTP,,,ES48093,PT,ES48093,100.0
