Year,Series,NCD,Sexo,Territorio,Comarca,Municipio,Units,GeoCode,Value
2011,EU_SH_DTH_NCOM,,,,,ES20006,PER_100000_POP,ES20006,285.7
2014,EU_SH_DTH_NCOM,,,,,ES48912,PER_100000_POP,ES48912,838.7
2019,EU_SH_DTH_NCOM,,,,,ES48912,PER_100000_POP,ES48912,705.0
2011,EU_SH_DTH_NCOM,,,,,ES48912,PER_100000_POP,ES48912,808.9
2024,EU_SH_DTH_NCOM,,,,,ES48912,PER_100000_POP,ES48912,527.0
2016,EU_SH_DTH_NCOM,,,,,ES48912,PER_100000_POP,ES48912,667.6
2013,EU_SH_DTH_NCOM,,,,,ES48912,PER_100000_POP,ES48912,490.7
2017,EU_SH_DTH_NCOM,,,,,ES48912,PER_100000_POP,ES48912,809.6
2012,EU_SH_DTH_NCOM,,,,,ES48912,PER_100000_POP,ES48912,665.4
2022,EU_SH_DTH_NCOM,,,,,ES48912,PER_100000_POP,ES48912,535.1
2018,EU_SH_DTH_NCOM,,,,,ES48912,PER_100000_POP,ES48912,983.0
2010,EU_SH_DTH_NCOM,,,,,ES48912,PER_100000_POP,ES48912,600.2
2021,EU_SH_DTH_NCOM,,,,,ES48912,PER_100000_POP,ES48912,914.3
2023,EU_SH_DTH_NCOM,,,,,ES48912,PER_100000_POP,ES48912,602.4
2015,EU_SH_DTH_NCOM,,,,,ES48912,PER_100000_POP,ES48912,838.7
2020,EU_SH_DTH_NCOM,,,,,ES48912,PER_100000_POP,ES48912,450.8
2024,EU_SH_DTH_NCOM,,,,,ES20906,PER_100000_POP,ES20906,1219.5
2012,EU_SH_DTH_NCOM,,,,,ES20906,PER_100000_POP,ES20906,611.6
2019,EU_SH_DTH_NCOM,,,,,ES20906,PER_100000_POP,ES20906,539.1
2021,EU_SH_DTH_NCOM,,,,,ES20906,PER_100000_POP,ES20906,1173.0
2018,EU_SH_DTH_NCOM,,,,,ES20906,PER_100000_POP,ES20906,537.6
2017,EU_SH_DTH_NCOM,,,,,ES20007,PER_100000_POP,ES20007,280.9
2016,EU_SH_DTH_NCOM,,,,,ES20007,PER_100000_POP,ES20007,280.9
2012,EU_SH_DTH_NCOM,,,,,ES20007,PER_100000_POP,ES20007,845.1
2021,EU_SH_DTH_NCOM,,,,,ES20007,PER_100000_POP,ES20007,1293.7
2024,EU_SH_DTH_NCOM,,,,,ES20007,PER_100000_POP,ES20007,252.5
2013,EU_SH_DTH_NCOM,,,,,ES20007,PER_100000_POP,ES20007,1144.5
2022,EU_SH_DTH_NCOM,,,,,ES20007,PER_100000_POP,ES20007,255.8
2019,EU_SH_DTH_NCOM,,,,,ES20007,PER_100000_POP,ES20007,264.2
2015,EU_SH_DTH_NCOM,,,,,ES20007,PER_100000_POP,ES20007,847.5
2011,EU_SH_DTH_NCOM,,,,,ES20007,PER_100000_POP,ES20007,565.8
2010,EU_SH_DTH_NCOM,,,,,ES20007,PER_100000_POP,ES20007,574.7
2023,EU_SH_DTH_NCOM,,,,,ES20007,PER_100000_POP,ES20007,251.3
